Hall,Spg_num,Spg_full,Symbol,P,P^-1,Permutation
1,1,1,P 1,"a,b,c","a,b,c",0
2,2,2,P -1,"a,b,c","a,b,c",0
3,3,3:b,P 1 2 1,"a,b,c","a,b,c",0
4,3,3:c,P 1 1 2,"c,a,b","b,c,a",1
5,3,3:a,P 2 1 1,"b,c,a","c,a,b",1
6,4,4:b,P 1 21 1,"a,b,c","a,b,c",0
7,4,4:c,P 1 1 21,"c,a,b","b,c,a",1
8,4,4:a,P 21 1 1,"b,c,a","c,a,b",1
9,5,5:b1,C 1 2 1,"a,b,c","a,b,c",0
10,5,5:b2,A 1 2 1,"c,-b,a","c,-b,a",0
11,5,5:b3,I 1 2 1,"c,b,-a-c","-a-c,b,a",0
12,5,5:c1,A 1 1 2,"c,a,b","b,c,a",1
13,5,5:c2,B 1 1 2,"a,c,-b","a,-c,b",1
14,5,5:c3,I 1 1 2,"-a-c,c,b","-a-b,c,b",1
15,5,5:a1,B 2 1 1,"b,c,a","c,a,b",1
16,5,5:a2,C 2 1 1,"-b,a,c","b,-a,c",1
17,5,5:a3,I 2 1 1,"b,-a-c,c","-b-c,a,c",1
18,6,6:b,P 1 m 1,"a,b,c","a,b,c",0
19,6,6:c,P 1 1 m,"c,a,b","b,c,a",1
20,6,6:a,P m 1 1,"b,c,a","c,a,b",1
21,7,7:b1,P 1 c 1,"a,b,c","a,b,c",0
22,7,7:b2,P 1 n 1,"-a-c,b,a","c,b,-a-c",0
23,7,7:b3,P 1 a 1,"c,-b,a","c,-b,a",0
24,7,7:c1,P 1 1 a,"c,a,b","b,c,a",1
25,7,7:c2,P 1 1 n,"a,-a-c,b","a,c,-a-b",1
26,7,7:c3,P 1 1 b,"a,c,-b","a,-c,b",1
27,7,7:a1,P b 1 1,"b,c,a","c,a,b",1
28,7,7:a2,P n 1 1,"b,a,-a-c","b,a,-b-c",1
29,7,7:a3,P c 1 1,"-b,a,c","b,-a,c",1
30,8,8:b1,C 1 m 1,"a,b,c","a,b,c",0
31,8,8:b2,A 1 m 1,"c,-b,a","c,-b,a",0
32,8,8:b3,I 1 m 1,"c,b,-a-c","-a-c,b,a",0
33,8,8:c1,A 1 1 m,"c,a,b","b,c,a",1
34,8,8:c2,B 1 1 m,"a,c,-b","a,-c,b",1
35,8,8:c3,I 1 1 m,"-a-c,c,b","-a-b,c,b",1
36,8,8:a1,B m 1 1,"b,c,a","c,a,b",1
37,8,8:a2,C m 1 1,"-b,a,c","b,-a,c",1
38,8,8:a3,I m 1 1,"b,-a-c,c","-b-c,a,c",1
39,9,9:b1,C 1 c 1,"a,b,c","a,b,c",0
40,9,9:b2,A 1 n 1,"-a-c,b,a","c,b,-a-c",0
41,9,9:b3,I 1 a 1,"c,b,-a-c","-a-c,b,a",0
42,9,9:-b1,A 1 a 1,"c,-b,a","c,-b,a",0
43,9,9:-b2,C 1 n 1,"a,-b,-a-c","a,-b,-a-c",0
44,9,9:-b3,I 1 c 1,"-a-c,-b,c","-a-c,-b,c",0
45,9,9:c1,A 1 1 a,"c,a,b","b,c,a",1
46,9,9:c2,B 1 1 n,"a,-a-c,b","a,c,-a-b",1
47,9,9:c3,I 1 1 b,"-a-c,c,b","-a-b,c,b",1
48,9,9:-c1,B 1 1 b,"a,c,-b","a,-c,b",1
49,9,9:-c2,A 1 1 n,"-a-c,a,-b","b,-c,-a-b",1
50,9,9:-c3,I 1 1 a,"c,-a-c,-b","-a-b,-c,a",1
51,9,9:a1,B b 1 1,"b,c,a","c,a,b",1
52,9,9:a2,C n 1 1,"b,a,-a-c","b,a,-b-c",1
53,9,9:a3,I c 1 1,"b,-a-c,c","-b-c,a,c",1
54,9,9:-a1,C c 1 1,"-b,a,c","b,-a,c",1
55,9,9:-a2,B n 1 1,"-b,-a-c,a","c,-a,-b-c",1
56,9,9:-a3,I b 1 1,"-b,c,-a-c","-b-c,-a,b",1
57,10,10:b,P 1 2/m 1,"a,b,c","a,b,c",0
58,10,10:c,P 1 1 2/m,"c,a,b","b,c,a",1
59,10,10:a,P 2/m 1 1,"b,c,a","c,a,b",1
60,11,11:b,P 1 21/m 1,"a,b,c","a,b,c",0
61,11,11:c,P 1 1 21/m,"c,a,b","b,c,a",1
62,11,11:a,P 21/m 1 1,"b,c,a","c,a,b",1
