,0
16,"[['x, y, z', 'x, -y+1/2, -z', '-x, -y, -z', '-x, y+1/2, z'], ['x, y, z', '-x, -y, -z'], ['x, y, z', 'x, -y+1/2, -z'], ['x, y, z', 'x, -y+1/2, -z']]"
17,"[['x, y, z', 'x+1/2, -y+1/2, -z', '-x, -y, -z', '-x+1/2, y+1/2, z'], ['x, y, z', 'x+1/2, -y+1/2, -z'], ['x, y, z', 'x+1/2, -y+1/2, -z']]"
18,"[['x, y, z', 'x, -y, -z', '-x, -y, -z', '-x, y, z', 'x+1/2, y+1/2, z', 'x+1/2, -y+1/2, -z', '-x+1/2, -y+1/2, -z', '-x+1/2, y+1/2, z'], ['x, y, z', 'x, -y, -z', 'x+1/2, y+1/2, z', 'x+1/2, -y+1/2, -z'], ['x, y, z', '-x, -y, -z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, -z'], ['x, y, z', 'x, -y, -z', '-x, -y, -z', '-x, y, z'], ['x, y, z', 'x+1/2, y+1/2, z'], ['x, y, z', 'x+1/2, y+1/2, z']]"
19,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x, -y, z'], ['x, y, z', '-x, -y, z'], ['x, y, z', '-x, -y, z'], ['x, y, z', '-x, -y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z']]"
20,"[['x, y, z', 'x+1/2, -y, -z', '-x+1/2, y, -z', '-x, -y, z'], ['x, y, z', 'x+1/2, -y, -z'], ['x, y, z', 'x+1/2, -y, -z'], ['x, y, z', 'x+1/2, -y, -z']]"
21,"[['x, y, z', '-x, -y, z', '-x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, -z'], ['x, y, z', '-x+1/2, y+1/2, -z'], ['x, y, z', '-x+1/2, y+1/2, -z']]"
22,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z', '-x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, -z'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z'], ['x, y, z', '-x, y, -z', 'x+1/2, y+1/2, z', '-x+1/2, y+1/2, -z'], ['x, y, z', '-x, y, -z', 'x+1/2, y+1/2, z', '-x+1/2, y+1/2, -z'], ['x, y, z', '-x, -y, z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z'], ['x, y, z', '-x, -y, z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z'], ['x, y, z', 'x+1/2, y+1/2, z'], ['x, y, z', 'x+1/2, y+1/2, z']]"
23,"[['x, y, z', '-x, -y, z', 'x, -y, z', '-x, y, z'], ['x, y, z', '-x, -y, z'], ['x, y, z', '-x, -y, z'], ['x, y, z', '-x, -y, z'], ['x, y, z', '-x, -y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z']]"
24,"[['x, y, z', '-x, -y, z', 'x+1/2, -y, z', '-x+1/2, y, z'], ['x, y, z', '-x, -y, z'], ['x, y, z', 'x+1/2, -y, z'], ['x, y, z', 'x+1/2, -y, z']]"
25,"[['x, y, z', '-x, -y, z', 'x+1/2, -y+1/2, z', '-x+1/2, y+1/2, z'], ['x, y, z', 'x+1/2, -y+1/2, z'], ['x, y, z', 'x+1/2, -y+1/2, z']]"
26,"[['x, y, z', '-x, -y, z', 'x, -y, z', '-x, y, z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z', 'x+1/2, -y+1/2, z', '-x+1/2, y+1/2, z'], ['x, y, z', '-x, -y, z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z'], ['x, y, z', '-x, -y, z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z'], ['x, y, z', '-x, -y, z', 'x, -y, z', '-x, y, z'], ['x, y, z', 'x+1/2, y+1/2, z'], ['x, y, z', 'x+1/2, y+1/2, z']]"
27,"[['x, y, z', '-x, y, -z', '-x, y, z', 'x, y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z'], ['x, y, z']]"
28,"[['x, y, z', '-x, y+1/2, -z', 'x, y+1/2, -z', '-x, y, z'], ['x, y, z', '-x, y+1/2, -z'], ['x, y, z', '-x, y+1/2, -z']]"
29,"[['x, y, z', '-x, y+1/2, -z', '-x, y+1/2, z', 'x, y, -z'], ['x, y, z', '-x, y+1/2, -z']]"
30,"[['x, y, z', '-x, y, -z', 'x, y+1/2, -z', '-x, y+1/2, z'], ['x, y, z', 'x, y+1/2, -z'], ['x, y, z', 'x, y+1/2, -z']]"
31,"[['x, y, z', '-x, y, -z', 'x+1/2, y, -z', '-x+1/2, y, z'], ['x, y, z', '-x, y, -z'], ['x, y, z', 'x+1/2, y, -z']]"
32,"[['x, y, z', '-x+1/2, y+1/2, -z', 'x+1/2, y+1/2, -z', '-x, y, z'], ['x, y, z', '-x+1/2, y+1/2, -z']]"
33,"[['x, y, z', '-x, y+1/2, -z', 'x+1/2, y, -z', '-x+1/2, y+1/2, z']]"
34,"[['x, y, z', '-x, y, -z', '-x+1/2, y+1/2, z', 'x+1/2, y+1/2, -z'], ['x, y, z', '-x+1/2, y+1/2, z']]"
35,"[['x, y, z', '-x, y, -z', '-x, y, z', 'x, y, -z', 'x+1/2, y+1/2, z', '-x+1/2, y+1/2, -z', '-x+1/2, y+1/2, z', 'x+1/2, y+1/2, -z'], ['x, y, z', '-x, y, -z', 'x+1/2, y+1/2, z', '-x+1/2, y+1/2, -z'], ['x, y, z', '-x, y, -z', 'x+1/2, y+1/2, z', '-x+1/2, y+1/2, -z'], ['x, y, z', 'x+1/2, y+1/2, z']]"
36,"[['x, y, z', '-x, y, -z', '-x+1/2, y, z', 'x+1/2, y, -z', 'x+1/2, y+1/2, z', '-x+1/2, y+1/2, -z', '-x+1, y+1/2, z', 'x+1, y+1/2, -z'], ['x, y, z', '-x, y, -z', 'x+1/2, y+1/2, z', '-x+1/2, y+1/2, -z'], ['x, y, z', '-x+1/2, y, z', 'x+1/2, y+1/2, z', '-x+1, y+1/2, z']]"
37,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', '-x, -y, -z', 'x, y, -z', 'x, -y, z', '-x, y, z'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x, -y, z'], ['x, y, z', '-x, -y, z'], ['x, y, z', '-x, -y, z'], ['x, y, z', '-x, -y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z'], ['x, y, z']]"
38,"[['x, y, z', 'x, -y, -z', '-x+1/2, -y, z', '-x+1/2, y, -z', '-x, -y, -z', '-x, y, z', 'x+1/2, y, -z', 'x+1/2, -y, z'], ['x, y, z', 'x, -y, -z', '-x+1/2, -y, z', '-x+1/2, y, -z'], ['x, y, z', '-x+1/2, -y, z', '-x, -y, -z', 'x+1/2, y, -z'], ['x, y, z', '-x+1/2, -y, z', '-x, -y, -z', 'x+1/2, y, -z'], ['x, y, z', 'x, -y, -z', '-x, -y, -z', '-x, y, z'], ['x, y, z', 'x, -y, -z', '-x, -y, -z', '-x, y, z'], ['x, y, z', 'x, -y, -z', '-x, -y, -z', '-x, y, z'], ['x, y, z', '-x, -y, -z'], ['x, y, z', '-x, -y, -z'], ['x, y, z', '-x+1/2, -y, z'], ['x, y, z', '-x+1/2, -y, z']]"
39,"[['x, y, z', '-x+1/2, -y+1/2, z', '-x+1/2, y, -z', 'x, -y+1/2, -z', '-x, -y, -z', 'x+1/2, y+1/2, -z', 'x+1/2, -y, z', '-x, y+1/2, z'], ['x, y, z', '-x+1/2, y, -z', '-x, -y, -z', 'x+1/2, -y, z'], ['x, y, z', '-x+1/2, y, -z', '-x, -y, -z', 'x+1/2, -y, z'], ['x, y, z', '-x+1/2, -y+1/2, z', '-x, -y, -z', 'x+1/2, y+1/2, -z'], ['x, y, z', '-x+1/2, -y+1/2, z', '-x, -y, -z', 'x+1/2, y+1/2, -z'], ['x, y, z', '-x+1/2, -y+1/2, z', '-x+1/2, y, -z', 'x, -y+1/2, -z'], ['x, y, z', '-x, -y, -z'], ['x, y, z', '-x, -y, -z']]"
40,"[['x, y, z', '-x+1/2, y, -z', '-x, -y, z', 'x+1/2, -y, -z', '-x, -y, -z', 'x+1/2, -y, z', 'x, y, -z', '-x+1/2, y, z'], ['x, y, z', '-x+1/2, y, -z', '-x, -y, z', 'x+1/2, -y, -z'], ['x, y, z', '-x+1/2, y, -z', '-x, -y, z', 'x+1/2, -y, -z'], ['x, y, z', '-x+1/2, y, -z', '-x, -y, -z', 'x+1/2, -y, z'], ['x, y, z', '-x+1/2, y, -z', '-x, -y, -z', 'x+1/2, -y, z'], ['x, y, z', '-x, -y, z'], ['x, y, z', '-x+1/2, y, -z'], ['x, y, z', '-x+1/2, y, -z']]"
41,"[['x, y, z', '-x+1/2, -y, z', '-x, y, -z', 'x+1/2, -y, -z', '-x, -y, -z', 'x+1/2, y, -z', 'x, -y, z', '-x+1/2, y, z'], ['x, y, z', '-x+1/2, -y, z', '-x, y, -z', 'x+1/2, -y, -z'], ['x, y, z', '-x+1/2, -y, z', '-x, y, -z', 'x+1/2, -y, -z'], ['x, y, z', '-x+1/2, -y, z', '-x, y, -z', 'x+1/2, -y, -z'], ['x, y, z', '-x+1/2, -y, z', '-x, -y, -z', 'x+1/2, y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x+1/2, -y, z'], ['x, y, z', '-x+1/2, -y, z']]"
42,"[['x, y, z', '-x+1/2, y+1/2, -z', '-x+1/2, -y+1/2, z', 'x, -y, -z', '-x, -y, -z', 'x+1/2, -y+1/2, z', 'x+1/2, y+1/2, -z', '-x, y, z'], ['x, y, z', '-x+1/2, y+1/2, -z', '-x+1/2, -y+1/2, z', 'x, -y, -z'], ['x, y, z', '-x+1/2, y+1/2, -z', '-x, -y, -z', 'x+1/2, -y+1/2, z'], ['x, y, z', '-x+1/2, y+1/2, -z', '-x, -y, -z', 'x+1/2, -y+1/2, z'], ['x, y, z', '-x+1/2, y+1/2, -z'], ['x, y, z', '-x+1/2, y+1/2, -z']]"
43,"[['x, y, z', 'x, -y+1/2, -z', '-x+1/2, -y, z', '-x+1/2, y+1/2, -z', '-x, -y, -z', '-x, y+1/2, z', 'x+1/2, y, -z', 'x+1/2, -y+1/2, z'], ['x, y, z', '-x+1/2, -y, z', '-x, -y, -z', 'x+1/2, y, -z'], ['x, y, z', 'x, -y+1/2, -z', '-x, -y, -z', '-x, y+1/2, z'], ['x, y, z', 'x, -y+1/2, -z', '-x+1/2, -y, z', '-x+1/2, y+1/2, -z']]"
44,"[['x, y, z', '-x, -y, z', '-x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, -z', '-x, -y, -z', 'x, y, -z', 'x+1/2, -y+1/2, z', '-x+1/2, y+1/2, z'], ['x, y, z', '-x, -y, z', '-x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, -z'], ['x, y, z', '-x+1/2, y+1/2, -z', '-x, -y, -z', 'x+1/2, -y+1/2, z'], ['x, y, z', '-x+1/2, y+1/2, -z', '-x, -y, -z', 'x+1/2, -y+1/2, z'], ['x, y, z', '-x+1/2, y+1/2, -z'], ['x, y, z', '-x+1/2, y+1/2, -z']]"
45,"[['x, y, z', '-x, y+1/2, -z', 'x+1/2, -y+1/2, -z', '-x+1/2, -y, z', '-x, -y, -z', 'x, -y+1/2, z', '-x+1/2, y+1/2, z', 'x+1/2, y, -z'], ['x, y, z', '-x, y+1/2, -z', 'x+1/2, -y+1/2, -z', '-x+1/2, -y, z'], ['x, y, z', '-x, y+1/2, -z', '-x, -y, -z', 'x, -y+1/2, z'], ['x, y, z', '-x, y+1/2, -z', 'x+1/2, -y+1/2, -z', '-x+1/2, -y, z']]"
46,"[['x, y, z', '-x+1/2, -y+1/2, z', '-x, y+1/2, -z', 'x+1/2, -y, -z', '-x, -y, -z', 'x+1/2, y+1/2, -z', 'x, -y+1/2, z', '-x+1/2, y, z'], ['x, y, z', '-x+1/2, -y+1/2, z', '-x, y+1/2, -z', 'x+1/2, -y, -z'], ['x, y, z', '-x+1/2, -y+1/2, z', '-x, y+1/2, -z', 'x+1/2, -y, -z'], ['x, y, z', '-x+1/2, -y+1/2, z', '-x, y+1/2, -z', 'x+1/2, -y, -z'], ['x, y, z', '-x, y+1/2, -z'], ['x, y, z', '-x, y+1/2, -z']]"
47,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', '-x, -y, -z', 'x, y, -z', 'x, -y, z', '-x, y, z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z', '-x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, -z', '-x+1/2, -y+1/2, -z', 'x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, z', '-x+1/2, y+1/2, z'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z', '-x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, -z'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z', '-x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, -z'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z', '-x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, -z'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', '-x, -y, -z', 'x, y, -z', 'x, -y, z', '-x, y, z'], ['x, y, z', '-x, y, -z', 'x+1/2, y+1/2, z', '-x+1/2, y+1/2, -z'], ['x, y, z', '-x, y, -z', 'x+1/2, y+1/2, z', '-x+1/2, y+1/2, -z'], ['x, y, z', '-x, -y, z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z'], ['x, y, z', '-x, -y, z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1/2, z'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z'], ['x, y, z', 'x+1/2, y+1/2, z'], ['x, y, z', 'x+1/2, y+1/2, z']]"
48,"[['x, y, z', '-x, -y+1/2, z', '-x, y+1/2, -z', 'x, -y, -z', '-x, -y, -z', 'x, y+1/2, -z', 'x, -y+1/2, z', '-x, y, z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1, z', '-x+1/2, y+1, -z', 'x+1/2, -y+1/2, -z', '-x+1/2, -y+1/2, -z', 'x+1/2, y+1, -z', 'x+1/2, -y+1, z', '-x+1/2, y+1/2, z'], ['x, y, z', '-x, -y+1/2, z', '-x, y+1/2, -z', 'x, -y, -z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1, z', '-x+1/2, y+1, -z', 'x+1/2, -y+1/2, -z'], ['x, y, z', '-x, -y+1/2, z', '-x, y+1/2, -z', 'x, -y, -z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1, z', '-x+1/2, y+1, -z', 'x+1/2, -y+1/2, -z'], ['x, y, z', '-x, -y+1/2, z', '-x, y+1/2, -z', 'x, -y, -z', '-x, -y, -z', 'x, y+1/2, -z', 'x, -y+1/2, z', '-x, y, z'], ['x, y, z', '-x, -y+1/2, z', '-x, y+1/2, -z', 'x, -y, -z', '-x, -y, -z', 'x, y+1/2, -z', 'x, -y+1/2, z', '-x, y, z'], ['x, y, z', '-x, -y+1/2, z', '-x, -y, -z', 'x, y+1/2, -z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1, z', '-x+1/2, -y+1/2, -z', 'x+1/2, y+1, -z'], ['x, y, z', '-x, y+1/2, -z', 'x+1/2, y+1/2, z', '-x+1/2, y+1, -z'], ['x, y, z', '-x, -y+1/2, z', '-x, y+1/2, -z', 'x, -y, -z'], ['x, y, z', '-x, -y+1/2, z', 'x+1/2, y+1/2, z', '-x+1/2, -y+1, z'], ['x, y, z', '-x, -y+1/2, z', '-x, -y, -z', 'x, y+1/2, -z']]"
49,"[['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-y, x, z'], ['x, y, z'], ['x, y, z']]"
50,"[['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z'], ['x, y, z', 'y, -x, -z'], ['x, y, z', 'y, -x, -z'], ['x, y, z', 'y, -x, -z'], ['x, y, z'], ['x, y, z']]"
51,"[['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', '-x, -y, -z', 'x, y, -z', 'y, -x, -z', '-y, x, -z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-y, x, z', '-x, -y, -z', 'y, -x, -z'], ['x, y, z', '-x, -y, -z'], ['x, y, z', '-x, -y, -z'], ['x, y, z', '-y, x, z'], ['x, y, z'], ['x, y, z']]"
52,"[['x, y, z', '-x+1/2, -y+1/2, z', '-y+1/2, x, z', 'y, -x+1/2, z', '-x, -y, -z', 'x+1/2, y+1/2, -z', 'y+1/2, -x, -z', '-y, x+1/2, -z'], ['x, y, z', '-y+1/2, x, z', '-x, -y, -z', 'y+1/2, -x, -z'], ['x, y, z', '-x+1/2, -y+1/2, z', '-y+1/2, x, z', 'y, -x+1/2, z'], ['x, y, z', '-x, -y, -z'], ['x, y, z', '-y+1/2, x, z']]"
53,"[['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', '-x, y, -z', 'x, -y, -z', 'y, x, -z', '-y, -x, -z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-y, x, z', '-x, y, -z', 'y, x, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-y, x, z'], ['x, y, z'], ['x, y, z']]"
54,"[['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', '-x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, -z', 'y+1/2, x+1/2, -z', '-y+1/2, -x+1/2, -z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-y, x, z', '-x+1/2, y+1/2, -z', 'y+1/2, x+1/2, -z'], ['x, y, z', '-x+1/2, y+1/2, -z'], ['x, y, z', '-y, x, z']]"
55,"[['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', 'x, -y, z', '-x, y, z', '-y, -x, z', 'y, x, z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-y, x, z'], ['x, y, z'], ['x, y, z']]"
56,"[['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', 'x+1/2, -y+1/2, z', '-x+1/2, y+1/2, z', '-y+1/2, -x+1/2, z', 'y+1/2, x+1/2, z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-y, x, z'], ['x, y, z', 'x+1/2, -y+1/2, z']]"
57,"[['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z', '-x, y, -z', 'x, -y, -z', '-y, -x, z', 'y, x, z'], ['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z'], ['x, y, z', 'y, -x, -z', '-x, y, -z', '-y, -x, z'], ['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z'], ['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z'], ['x, y, z', 'y, -x, -z'], ['x, y, z', 'y, -x, -z'], ['x, y, z', 'y, -x, -z'], ['x, y, z'], ['x, y, z']]"
58,"[['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z', '-x+1/2, y+1/2, -z', 'x+1/2, -y+1/2, -z', '-y+1/2, -x+1/2, z', 'y+1/2, x+1/2, z'], ['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z'], ['x, y, z', 'y, -x, -z', '-x+1/2, y+1/2, -z', '-y+1/2, -x+1/2, z'], ['x, y, z', 'y, -x, -z'], ['x, y, z', '-x+1/2, y+1/2, -z']]"
59,"[['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z', 'x, -y, z', '-x, y, z', 'y, x, -z', '-y, -x, -z'], ['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z'], ['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z'], ['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z'], ['x, y, z', 'y, -x, -z'], ['x, y, z', 'y, -x, -z'], ['x, y, z', 'y, -x, -z'], ['x, y, z'], ['x, y, z']]"
60,"[['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z', 'x+1/2, -y+1/2, z', '-x+1/2, y+1/2, z', 'y+1/2, x+1/2, -z', '-y+1/2, -x+1/2, -z'], ['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z'], ['x, y, z', 'y, -x, -z', 'x+1/2, -y+1/2, z', 'y+1/2, x+1/2, -z'], ['x, y, z', 'y, -x, -z', 'x+1/2, -y+1/2, z', 'y+1/2, x+1/2, -z'], ['x, y, z', 'y, -x, -z'], ['x, y, z', 'x+1/2, -y+1/2, z']]"
61,"[['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', '-x, y, -z', 'x, -y, -z', 'y, x, -z', '-y, -x, -z', '-x, -y, -z', 'x, y, -z', 'y, -x, -z', '-y, x, -z', 'x, -y, z', '-x, y, z', '-y, -x, z', 'y, x, z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', '-x, y, -z', 'x, -y, -z', 'y, x, -z', '-y, -x, -z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', '-x, y, -z', 'x, -y, -z', 'y, x, -z', '-y, -x, -z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', '-x, y, -z', 'x, -y, -z', 'y, x, -z', '-y, -x, -z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', '-x, y, -z', 'x, -y, -z', 'y, x, -z', '-y, -x, -z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-y, x, z', '-x, y, -z', 'y, x, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-x, y, -z'], ['x, y, z', '-y, x, z'], ['x, y, z'], ['x, y, z']]"
62,"[['x, y, z', '-x+1/2, -y+1/2, z', '-y+1/2, x, z', 'y, -x+1/2, z', '-x+1/2, y, -z', 'x, -y+1/2, -z', 'y, x, -z', '-y+1/2, -x+1/2, -z', '-x, -y, -z', 'x+1/2, y+1/2, -z', 'y+1/2, -x, -z', '-y, x+1/2, -z', 'x+1/2, -y, z', '-x, y+1/2, z', '-y, -x, z', 'y+1/2, x+1/2, z'], ['x, y, z', '-x+1/2, -y+1/2, z', '-y+1/2, x, z', 'y, -x+1/2, z', '-x+1/2, y, -z', 'x, -y+1/2, -z', 'y, x, -z', '-y+1/2, -x+1/2, -z'], ['x, y, z', '-x+1/2, -y+1/2, z', '-y+1/2, x, z', 'y, -x+1/2, z', '-x, -y, -z', 'x+1/2, y+1/2, -z', 'y+1/2, -x, -z', '-y, x+1/2, -z'], ['x, y, z', '-x+1/2, -y+1/2, z', '-y+1/2, x, z', 'y, -x+1/2, z', '-x, -y, -z', 'x+1/2, y+1/2, -z', 'y+1/2, -x, -z', '-y, x+1/2, -z'], ['x, y, z', '-y+1/2, x, z', '-x+1/2, y, -z', 'y, x, -z'], ['x, y, z', '-x+1/2, y, -z', '-x, -y, -z', 'x+1/2, -y, z'], ['x, y, z', '-x+1/2, -y+1/2, z', '-y+1/2, x, z', 'y, -x+1/2, z'], ['x, y, z', '-y+1/2, x, z'], ['x, y, z', '-x, -y, -z']]"
