spg,n_atoms,wps,count
3,6,0-0-1-4,3
3,9,0-0-1-2-3-3-4,1
3,10,0-0-0-0-1-2,1
3,10,0-0-0-1-2-3-4,1
3,10,0-0-0-0-2-3,1
3,12,0-0-0-0-1-2-3-4,2
3,12,0-0-0-0-0-2-3,2
3,13,0-0-0-0-1-1-2-2-3,4
3,13,0-0-0-0-1-2-3-3-4,1
3,14,0-0-0-0-1-1-2-2-3-3,1
3,14,0-0-0-0-0-1-3-3-4,1
3,15,0-0-0-0-1-1-2-2-3-4-4,2
3,16,0-0-0-0-0-0-1-2-3-4,8
3,16,0-0-0-0-1-1-2-2-3-3-4-4,1
3,17,0-0-0-0-0-0-1-1-2-3-4,3
3,17,0-0-0-0-0-0-1-2-3-4-4,1
3,17,0-0-0-0-0-0-1-2-3-3-4,1
3,18,0-0-0-0-0-0-1-1-2-3-3-4,1
3,18,0-0-0-0-0-0-1-1-2-2-3-3,6
3,18,0-0-0-0-1-1-2-2-2-3-3-3-4-4,1
3,19,0-0-0-0-0-0-0-0-1-2-3,1
3,20,0-0-0-0-0-0-1-1-2-2-3-3-4-4,8
3,20,0-0-0-0-0-0-0-0-0-0,1
3,20,0-0-0-0-0-0-1-1-1-2-3-3-3-4,1
3,22,0-0-0-0-0-0-0-0-0-2-2-4-4,1
3,22,0-0-0-0-0-0-0-0-1-2-2-3-3-4,1
3,22,0-0-0-0-0-0-0-0-0-1-2-3-4,2
3,24,0-0-0-0-0-0-1-1-1-2-2-2-3-3-3-4-4-4,5
3,24,0-0-0-0-0-0-0-0-0-0-1-2-3-4,1
3,27,0-0-0-0-0-0-0-0-0-0-0-0-0-1,1
3,28,0-0-0-0-0-0-0-0-1-1-1-2-2-2-3-3-3-4-4-4,1
3,28,0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-4,1
4,4,0-0,3
4,6,0-0-0,15
4,8,0-0-0-0,18
4,10,0-0-0-0-0,22
4,12,0-0-0-0-0-0,20
4,14,0-0-0-0-0-0-0,36
4,16,0-0-0-0-0-0-0-0,36
4,18,0-0-0-0-0-0-0-0-0,52
4,20,0-0-0-0-0-0-0-0-0-0,49
4,22,0-0-0-0-0-0-0-0-0-0-0,43
4,24,0-0-0-0-0-0-0-0-0-0-0-0,46
4,26,0-0-0-0-0-0-0-0-0-0-0-0-0,25
4,28,0-0-0-0-0-0-0-0-0-0-0-0-0-0,40
4,30,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,10
4,32,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,3
4,36,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,3
4,38,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,2
4,40,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,42,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,2
4,44,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,3
4,46,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,48,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,50,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,3
4,52,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,54,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,56,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,58,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,2
4,60,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,3
4,64,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,68,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
5,6,0-1,42
5,6,0-2,80
5,6,1-2-2,1
5,8,0-1-2,20
5,8,0-0,1
5,8,1-1-2-2,1
5,10,0-0-2,17
