,0
13,"[['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', 'x, -y, z', '-x, y, z', '-y, -x, z', 'y, x, z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z']]"
14,"[['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z', '-x, y, -z', 'x, -y, -z', '-y, -x, z', 'y, x, z'], ['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z'], ['x, y, z', '-x, -y, z', 'y, -x, -z', '-y, x, -z'], ['x, y, z', 'y, -x, -z'], ['x, y, z']]"
15,"[['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', '-x, y, -z', 'x, -y, -z', 'y, x, -z', '-y, -x, -z', '-x, -y, -z', 'x, y, -z', 'y, -x, -z', '-y, x, -z', 'x, -y, z', '-x, y, z', '-y, -x, z', 'y, x, z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', '-x, y, -z', 'x, -y, -z', 'y, x, -z', '-y, -x, -z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', '-x, y, -z', 'x, -y, -z', 'y, x, -z', '-y, -x, -z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z', '-x, y, -z', 'x, -y, -z', 'y, x, -z', '-y, -x, -z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-x, -y, z', '-y, x, z', 'y, -x, z'], ['x, y, z', '-x, y, -z'], ['x, y, z']]"
16,"[['x, y, z', '-y, x-y, z', '-x+y, -x, z'], ['x, y, z']]"
17,"[['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, -z', 'y, -x+y, -z', 'x-y, x, -z'], ['x, y, z', '-x, -y, -z'], ['x, y, z']]"
18,"[['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-y, -x, -z', '-x+y, y, -z', 'x, x-y, -z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z'], ['x, y, z', '-y, -x, -z'], ['x, y, z']]"
19,"[['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-y, -x, z', '-x+y, y, z', 'x, x-y, z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z'], ['x, y, z']]"
20,"[['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-y, -x, -z', '-x+y, y, -z', 'x, x-y, -z', '-x, -y, -z', 'y, -x+y, -z', 'x-y, x, -z', 'y, x, z', 'x-y, -y, z', '-x, -x+y, z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-y, -x, -z', '-x+y, y, -z', 'x, x-y, -z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, -z', 'y, -x+y, -z', 'x-y, x, -z'], ['x, y, z', '-y, -x, -z'], ['x, y, z']]"
21,"[['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z'], ['x, y, z']]"
22,"[['x, y, z', '-y, x-y, z', '-x+y, -x, z', 'x, y, -z', '-y, x-y, -z', '-x+y, -x, -z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z'], ['x, y, z', 'x, y, -z'], ['x, y, z']]"
23,"[['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z', '-x, -y, -z', 'y, -x+y, -z', 'x-y, x, -z', 'x, y, -z', '-y, x-y, -z', '-x+y, -x, -z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z'], ['x, y, z', '-x, -y, -z'], ['x, y, z']]"
24,"[['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z', 'y, x, -z', 'x-y, -y, -z', '-x, -x+y, -z', '-y, -x, -z', '-x+y, y, -z', 'x, x-y, -z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z'], ['x, y, z', 'y, x, -z'], ['x, y, z']]"
25,"[['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z', '-y, -x, z', '-x+y, y, z', 'x, x-y, z', 'y, x, z', 'x-y, -y, z', '-x, -x+y, z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z'], ['x, y, z']]"
26,"[['x, y, z', '-y, x-y, z', '-x+y, -x, z', 'x, y, -z', '-y, x-y, -z', '-x+y, -x, -z', '-y, -x, z', '-x+y, y, z', 'x, x-y, z', '-y, -x, -z', '-x+y, y, -z', 'x, x-y, -z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-y, -x, z', '-x+y, y, z', 'x, x-y, z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', 'x, y, -z', '-y, x-y, -z', '-x+y, -x, -z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z'], ['x, y, z', 'x, y, -z'], ['x, y, z']]"
27,"[['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z', 'y, x, -z', 'x-y, -y, -z', '-x, -x+y, -z', '-y, -x, -z', '-x+y, y, -z', 'x, x-y, -z', '-x, -y, -z', 'y, -x+y, -z', 'x-y, x, -z', 'x, y, -z', '-y, x-y, -z', '-x+y, -x, -z', '-y, -x, z', '-x+y, y, z', 'x, x-y, z', 'y, x, z', 'x-y, -y, z', '-x, -x+y, z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z', 'y, x, -z', 'x-y, -y, -z', '-x, -x+y, -z', '-y, -x, -z', '-x+y, y, -z', 'x, x-y, -z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z', 'y, x, -z', 'x-y, -y, -z', '-x, -x+y, -z', '-y, -x, -z', '-x+y, y, -z', 'x, x-y, -z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z', 'y, x, -z', 'x-y, -y, -z', '-x, -x+y, -z', '-y, -x, -z', '-x+y, y, -z', 'x, x-y, -z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z'], ['x, y, z', '-y, x-y, z', '-x+y, -x, z', '-x, -y, z', 'y, -x+y, z', 'x-y, x, z'], ['x, y, z', 'y, x, -z'], ['x, y, z']]"
28,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'z, x, y', 'z, -x, -y', '-z, -x, y', '-z, x, -y', 'y, z, x', '-y, z, -x', 'y, -z, -x', '-y, -z, x'], ['x, y, z', '-x, -y, z', 'z, x, y', 'z, -x, -y', 'y, z, x', '-y, z, -x'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z'], ['x, y, z']]"
29,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'z, x, y', 'z, -x, -y', '-z, -x, y', '-z, x, -y', 'y, z, x', '-y, z, -x', 'y, -z, -x', '-y, -z, x', '-x, -y, -z', 'x, y, -z', 'x, -y, z', '-x, y, z', '-z, -x, -y', '-z, x, y', 'z, x, -y', 'z, -x, y', '-y, -z, -x', 'y, -z, x', '-y, z, x', 'y, z, -x'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'z, x, y', 'z, -x, -y', '-z, -x, y', '-z, x, -y', 'y, z, x', '-y, z, -x', 'y, -z, -x', '-y, -z, x'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', '-x, -y, -z', 'x, y, -z', 'x, -y, z', '-x, y, z'], ['x, y, z', '-x, -y, z', 'z, x, y', 'z, -x, -y', 'y, z, x', '-y, z, -x'], ['x, y, z']]"
30,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'z, x, y', 'z, -x, -y', '-z, -x, y', '-z, x, -y', 'y, z, x', '-y, z, -x', 'y, -z, -x', '-y, -z, x', 'y, x, -z', '-y, -x, -z', 'y, -x, z', '-y, x, z', 'x, z, -y', '-x, z, y', '-x, -z, -y', 'x, -z, y', 'z, y, -x', 'z, -y, x', '-z, y, x', '-z, -y, -x'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'z, x, y', 'z, -x, -y', '-z, -x, y', '-z, x, -y', 'y, z, x', '-y, z, -x', 'y, -z, -x', '-y, -z, x'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'y, x, -z', '-y, -x, -z', 'y, -x, z', '-y, x, z'], ['x, y, z', '-x, -y, z', 'z, x, y', 'z, -x, -y', 'y, z, x', '-y, z, -x'], ['x, y, z']]"
31,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'z, x, y', 'z, -x, -y', '-z, -x, y', '-z, x, -y', 'y, z, x', '-y, z, -x', 'y, -z, -x', '-y, -z, x', 'y, x, z', '-y, -x, z', 'y, -x, -z', '-y, x, -z', 'x, z, y', '-x, z, -y', '-x, -z, y', 'x, -z, -y', 'z, y, x', 'z, -y, -x', '-z, y, -x', '-z, -y, x'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'z, x, y', 'z, -x, -y', '-z, -x, y', '-z, x, -y', 'y, z, x', '-y, z, -x', 'y, -z, -x', '-y, -z, x'], ['x, y, z', '-x, -y, z', 'z, x, y', 'z, -x, -y', 'y, z, x', '-y, z, -x'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z'], ['x, y, z']]"
32,"[['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'z, x, y', 'z, -x, -y', '-z, -x, y', '-z, x, -y', 'y, z, x', '-y, z, -x', 'y, -z, -x', '-y, -z, x', 'y, x, -z', '-y, -x, -z', 'y, -x, z', '-y, x, z', 'x, z, -y', '-x, z, y', '-x, -z, -y', 'x, -z, y', 'z, y, -x', 'z, -y, x', '-z, y, x', '-z, -y, -x', '-x, -y, -z', 'x, y, -z', 'x, -y, z', '-x, y, z', '-z, -x, -y', '-z, x, y', 'z, x, -y', 'z, -x, y', '-y, -z, -x', 'y, -z, x', '-y, z, x', 'y, z, -x', '-y, -x, z', 'y, x, z', '-y, x, -z', 'y, -x, -z', '-x, -z, y', 'x, -z, -y', 'x, z, y', '-x, z, -y', '-z, -y, x', '-z, y, -x', 'z, -y, -x', 'z, y, x'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'z, x, y', 'z, -x, -y', '-z, -x, y', '-z, x, -y', 'y, z, x', '-y, z, -x', 'y, -z, -x', '-y, -z, x', 'y, x, -z', '-y, -x, -z', 'y, -x, z', '-y, x, z', 'x, z, -y', '-x, z, y', '-x, -z, -y', 'x, -z, y', 'z, y, -x', 'z, -y, x', '-z, y, x', '-z, -y, -x'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'z, x, y', 'z, -x, -y', '-z, -x, y', '-z, x, -y', 'y, z, x', '-y, z, -x', 'y, -z, -x', '-y, -z, x', 'y, x, -z', '-y, -x, -z', 'y, -x, z', '-y, x, z', 'x, z, -y', '-x, z, y', '-x, -z, -y', 'x, -z, y', 'z, y, -x', 'z, -y, x', '-z, y, x', '-z, -y, -x'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'z, x, y', 'z, -x, -y', '-z, -x, y', '-z, x, -y', 'y, z, x', '-y, z, -x', 'y, -z, -x', '-y, -z, x'], ['x, y, z', '-x, -y, z', '-x, y, -z', 'x, -y, -z', 'y, x, -z', '-y, -x, -z', 'y, -x, z', '-y, x, z'], ['x, y, z', '-x, -y, z', 'z, x, y', 'z, -x, -y', 'y, z, x', '-y, z, -x'], ['x, y, z']]"
