spg,n_atoms,wps,count
2,2,0,3
2,3,0-3,1
2,3,0-4,1
2,3,0-8,1
2,4,0-0,3
2,4,0-1-8,5
2,4,0-2-8,2
2,4,0-3-4,1
2,4,0-4-7,2
2,4,0-5-7,1
2,4,0-5-8,1
2,4,0-6-7,1
2,5,0-0-4,3
2,5,0-0-5,2
2,5,0-0-8,1
2,5,0-1-5-6,2
2,5,0-1-7-8,1
2,5,0-4-6-8,1
2,6,0-0-0,12
2,6,0-0-1-7,1
2,6,0-0-1-8,1
2,6,0-0-2-7,1
2,6,0-0-3-4,1
2,7,0-0-0-1,1
2,7,0-0-0-2,1
2,7,0-0-0-4,4
2,7,0-0-0-5,1
2,7,0-0-0-7,1
2,7,0-0-0-8,9
2,7,0-0-2-3-4,2
2,7,0-0-2-3-8,2
2,7,0-0-2-4-8,1
2,7,0-0-3-4-8,6
2,8,0-0-0-0,23
2,8,0-0-0-1-4,2
2,8,0-0-0-1-6,1
2,8,0-0-0-2-7,1
2,8,0-0-0-2-8,3
2,8,0-0-0-3-8,8
2,8,0-0-0-4-8,4
2,8,0-0-0-5-6,1
2,8,0-0-0-5-8,2
2,8,0-0-0-7-8,2
2,8,0-0-1-5-6-7,2
2,8,0-0-2-3-4-8,5
2,9,0-0-0-0-2,2
2,9,0-0-0-0-3,2
2,9,0-0-0-0-5,1
2,9,0-0-0-0-8,16
2,9,0-0-0-4-5-8,1
2,10,0-0-0-0-0,65
2,10,0-0-0-0-1-3,2
2,10,0-0-0-0-1-5,1
2,10,0-0-0-0-1-8,10
2,10,0-0-0-0-2-8,4
2,10,0-0-0-0-3-4,1
2,10,0-0-0-0-3-6,1
2,10,0-0-0-0-3-8,2
2,10,0-0-0-0-4-8,1
2,10,0-0-0-0-5-8,2
2,10,0-0-0-0-6-8,3
2,10,0-0-0-0-7-8,1
2,10,0-0-0-1-3-7-8,4
2,10,0-0-0-1-5-6-8,1
2,10,0-0-0-1-5-7-8,1
2,10,0-0-0-1-6-7-8,6
2,10,0-0-0-2-3-5-8,1
2,10,0-0-0-2-3-6-8,2
2,10,0-0-0-2-4-5-8,1
2,10,0-0-0-2-4-6-8,1
2,10,0-0-0-2-4-7-8,7
2,10,0-0-0-2-5-6-8,1
2,10,0-0-0-2-5-7-8,2
2,10,0-0-0-3-4-6-8,7
2,10,0-0-0-3-4-7-8,2
2,10,0-0-0-3-5-6-8,2
2,10,0-0-0-4-5-7-8,5
2,10,0-0-0-4-6-7-8,27
2,10,0-0-0-5-6-7-8,42
2,11,0-0-0-0-0-1,6
2,11,0-0-0-0-0-2,5
2,11,0-0-0-0-0-3,2
2,11,0-0-0-0-0-4,4
2,11,0-0-0-0-0-5,14
2,11,0-0-0-0-0-7,2
2,11,0-0-0-0-0-8,18
2,11,0-0-0-0-1-2-3,1
2,11,0-0-0-0-2-3-7,1
2,11,0-0-0-0-3-5-8,3
2,11,0-0-0-0-4-5-8,11
2,11,0-0-0-0-4-6-8,11
2,12,0-0-0-0-0-0,96
2,12,0-0-0-0-0-1-3,3
2,12,0-0-0-0-0-1-4,1
2,12,0-0-0-0-0-1-5,1
2,12,0-0-0-0-0-1-6,6
2,12,0-0-0-0-0-1-7,1
2,12,0-0-0-0-0-1-8,4
2,12,0-0-0-0-0-2-3,7
2,12,0-0-0-0-0-2-4,1
2,12,0-0-0-0-0-2-5,1
2,12,0-0-0-0-0-2-7,3
2,12,0-0-0-0-0-2-8,3
2,12,0-0-0-0-0-3-4,2
2,12,0-0-0-0-0-3-5,2
2,12,0-0-0-0-0-3-6,1
2,12,0-0-0-0-0-3-8,7
2,12,0-0-0-0-0-4-5,1
2,12,0-0-0-0-0-4-7,1
2,12,0-0-0-0-0-4-8,6
2,12,0-0-0-0-0-5-6,5
2,12,0-0-0-0-0-5-7,4
2,12,0-0-0-0-0-5-8,1
2,12,0-0-0-0-0-6-7,1
2,12,0-0-0-0-0-6-8,4
2,12,0-0-0-0-0-7-8,6
2,12,0-0-0-0-1-2-4-5,1
2,12,0-0-0-0-1-2-5-8,1
2,12,0-0-0-0-1-2-6-7,1
2,12,0-0-0-0-1-3-5-6,1
2,12,0-0-0-0-2-3-4-8,1
2,12,0-0-0-0-2-3-5-7,1
2,12,0-0-0-0-2-4-6-7,1
2,13,0-0-0-0-0-0-1,5
2,13,0-0-0-0-0-0-3,2
2,13,0-0-0-0-0-0-4,3
2,13,0-0-0-0-0-0-5,10
2,13,0-0-0-0-0-0-6,2
2,13,0-0-0-0-0-0-7,4
