spg,n_atoms,wps,count
2,13,0-0-0-0-0-0-8,9
2,13,0-0-0-0-0-1-2-6,1
2,13,0-0-0-0-0-1-2-8,2
2,13,0-0-0-0-0-1-7-8,2
2,13,0-0-0-0-0-2-6-7,1
2,13,0-0-0-0-0-2-7-8,1
2,13,0-0-0-0-0-4-7-8,2
2,13,0-0-0-0-0-6-7-8,1
2,13,0-0-0-0-1-2-3-4-5,1
2,13,0-0-0-0-1-2-3-4-6,1
2,13,0-0-0-0-1-2-3-7-8,1
2,13,0-0-0-0-1-2-4-7-8,1
2,13,0-0-0-0-1-2-6-7-8,1
2,13,0-0-0-0-1-3-4-5-6,1
2,13,0-0-0-0-1-3-4-5-7,1
2,13,0-0-0-0-1-3-4-6-7,1
2,13,0-0-0-0-1-3-4-6-8,1
2,13,0-0-0-0-1-3-6-7-8,1
2,13,0-0-0-0-1-4-5-6-8,5
2,13,0-0-0-0-1-5-6-7-8,1
2,13,0-0-0-0-2-3-4-5-6,2
2,13,0-0-0-0-2-3-5-7-8,1
2,13,0-0-0-0-2-3-6-7-8,2
2,13,0-0-0-0-2-4-5-6-8,2
2,13,0-0-0-0-2-4-6-7-8,4
2,13,0-0-0-0-3-4-5-6-8,2
2,13,0-0-0-0-3-4-5-7-8,1
2,13,0-0-0-0-3-4-6-7-8,4
2,13,0-0-0-0-3-5-6-7-8,1
2,13,0-0-0-0-4-5-6-7-8,1
2,14,0-0-0-0-0-0-0,71
2,14,0-0-0-0-0-0-1-3,2
2,14,0-0-0-0-0-0-1-5,1
2,14,0-0-0-0-0-0-1-8,21
2,14,0-0-0-0-0-0-2-5,1
2,14,0-0-0-0-0-0-2-6,2
2,14,0-0-0-0-0-0-2-8,3
2,14,0-0-0-0-0-0-3-4,1
2,14,0-0-0-0-0-0-3-5,1
2,14,0-0-0-0-0-0-3-8,4
2,14,0-0-0-0-0-0-4-5,1
2,14,0-0-0-0-0-0-4-6,1
2,14,0-0-0-0-0-0-4-8,3
2,14,0-0-0-0-0-0-5-6,4
2,14,0-0-0-0-0-0-5-7,1
2,14,0-0-0-0-0-0-5-8,3
2,14,0-0-0-0-0-0-6-7,1
2,14,0-0-0-0-0-0-6-8,3
2,14,0-0-0-0-0-0-7-8,24
2,14,0-0-0-0-0-1-2-3-4,1
2,14,0-0-0-0-0-1-2-3-5,4
2,14,0-0-0-0-0-1-2-3-6,1
2,14,0-0-0-0-0-1-2-4-5,1
2,14,0-0-0-0-0-1-2-4-7,1
2,14,0-0-0-0-0-1-2-6-7,3
2,14,0-0-0-0-0-1-3-4-6,4
2,14,0-0-0-0-0-1-3-4-7,2
2,14,0-0-0-0-0-1-3-4-8,1
2,14,0-0-0-0-0-1-3-5-7,1
2,14,0-0-0-0-0-1-3-6-8,1
2,14,0-0-0-0-0-1-4-5-6,4
2,14,0-0-0-0-0-1-4-5-8,1
2,14,0-0-0-0-0-1-5-6-8,1
2,14,0-0-0-0-0-2-3-4-8,2
2,14,0-0-0-0-0-2-3-5-7,4
2,14,0-0-0-0-0-2-3-6-7,2
2,14,0-0-0-0-0-2-3-7-8,1
2,14,0-0-0-0-0-2-4-5-6,4
2,14,0-0-0-0-0-2-4-6-7,5
2,14,0-0-0-0-0-2-5-7-8,1
2,14,0-0-0-0-0-2-6-7-8,1
2,14,0-0-0-0-0-3-4-5-6,5
2,14,0-0-0-0-0-3-4-5-7,5
2,14,0-0-0-0-0-3-5-6-8,1
2,14,0-0-0-0-0-3-6-7-8,1
2,14,0-0-0-0-0-4-5-7-8,2
2,14,0-0-0-0-0-5-6-7-8,1
2,14,0-0-0-0-1-2-3-4-5-8,1
2,14,0-0-0-0-1-2-3-4-6-8,2
2,14,0-0-0-0-1-2-3-4-7-8,1
2,14,0-0-0-0-1-2-3-5-7-8,2
2,14,0-0-0-0-1-2-3-6-7-8,2
2,14,0-0-0-0-1-2-4-5-6-8,5
2,14,0-0-0-0-1-3-4-5-6-8,7
2,14,0-0-0-0-1-3-5-6-7-8,2
2,14,0-0-0-0-1-4-5-6-7-8,1
2,14,0-0-0-0-2-3-4-5-6-8,7
2,14,0-0-0-0-2-3-4-5-7-8,2
2,14,0-0-0-0-2-3-4-6-7-8,1
2,14,0-0-0-0-2-4-5-6-7-8,2
2,14,0-0-0-0-3-4-5-6-7-8,3
2,15,0-0-0-0-0-0-0-1,6
2,15,0-0-0-0-0-0-0-2,5
2,15,0-0-0-0-0-0-0-3,7
2,15,0-0-0-0-0-0-0-4,7
2,15,0-0-0-0-0-0-0-5,15
2,15,0-0-0-0-0-0-0-6,9
2,15,0-0-0-0-0-0-0-7,8
2,15,0-0-0-0-0-0-0-8,43
2,15,0-0-0-0-0-0-1-3-8,4
2,15,0-0-0-0-0-0-1-4-6,1
2,15,0-0-0-0-0-0-1-4-8,1
2,15,0-0-0-0-0-0-1-7-8,4
2,15,0-0-0-0-0-0-2-3-8,1
2,15,0-0-0-0-0-0-2-5-6,1
2,15,0-0-0-0-0-0-2-7-8,3
2,15,0-0-0-0-0-0-3-6-8,2
2,15,0-0-0-0-0-0-3-7-8,1
2,15,0-0-0-0-0-0-6-7-8,1
2,15,0-0-0-0-0-1-2-3-4-7,2
2,15,0-0-0-0-0-1-2-3-5-7,3
2,15,0-0-0-0-0-1-2-3-6-7,4
2,15,0-0-0-0-0-1-2-3-7-8,2
2,15,0-0-0-0-0-2-3-6-7-8,1
2,15,0-0-0-0-0-2-4-5-6-8,5
2,15,0-0-0-0-0-3-4-5-6-8,4
2,15,0-0-0-0-0-3-4-5-7-8,1
2,15,0-0-0-0-1-2-3-4-5-6-8,7
2,15,0-0-0-0-1-2-3-4-5-7-8,7
2,15,0-0-0-0-1-2-3-4-6-7-8,5
2,15,0-0-0-0-1-2-3-5-6-7-8,1
2,15,0-0-0-0-1-2-4-5-6-7-8,11
2,15,0-0-0-0-1-3-4-5-6-7-8,7
2,15,0-0-0-0-2-3-4-5-6-7-8,6
2,16,0-0-0-0-0-0-0-0,94
2,16,0-0-0-0-0-0-0-1-2,1
2,16,0-0-0-0-0-0-0-1-3,2
2,16,0-0-0-0-0-0-0-1-4,5
2,16,0-0-0-0-0-0-0-1-5,1
2,16,0-0-0-0-0-0-0-1-6,2
2,16,0-0-0-0-0-0-0-1-8,31
2,16,0-0-0-0-0-0-0-2-3,7
2,16,0-0-0-0-0-0-0-2-4,1
2,16,0-0-0-0-0-0-0-2-6,6
2,16,0-0-0-0-0-0-0-2-7,1
2,16,0-0-0-0-0-0-0-2-8,2
2,16,0-0-0-0-0-0-0-3-4,3
2,16,0-0-0-0-0-0-0-3-5,12
2,16,0-0-0-0-0-0-0-3-8,1
2,16,0-0-0-0-0-0-0-4-8,7
2,16,0-0-0-0-0-0-0-5-6,3
2,16,0-0-0-0-0-0-0-6-7,1
2,16,0-0-0-0-0-0-0-6-8,2
2,16,0-0-0-0-0-0-0-7-8,40
2,16,0-0-0-0-0-0-1-2-5-8,1
2,16,0-0-0-0-0-0-1-3-4-5,8
2,16,0-0-0-0-0-0-1-3-5-8,1
2,16,0-0-0-0-0-0-1-4-7-8,4
2,16,0-0-0-0-0-0-1-5-6-7,1
2,16,0-0-0-0-0-0-2-3-4-8,9
2,16,0-0-0-0-0-0-2-3-5-6,1
2,16,0-0-0-0-0-0-2-4-6-7,1
2,16,0-0-0-0-0-0-2-6-7-8,13
2,16,0-0-0-0-0-0-3-6-7-8,1
2,16,0-0-0-0-0-0-4-5-7-8,2
2,16,0-0-0-0-0-0-4-6-7-8,2
2,16,0-0-0-0-0-0-5-6-7-8,5
2,16,0-0-0-0-0-1-2-3-4-6-7,1
2,16,0-0-0-0-1-2-3-4-5-6-7-8,22
2,17,0-0-0-0-0-0-0-0-1,4
2,17,0-0-0-0-0-0-0-0-2,1
2,17,0-0-0-0-0-0-0-0-3,5
2,17,0-0-0-0-0-0-0-0-4,4
2,17,0-0-0-0-0-0-0-0-5,8
2,17,0-0-0-0-0-0-0-0-6,4
2,17,0-0-0-0-0-0-0-0-7,3
2,17,0-0-0-0-0-0-0-0-8,18
2,17,0-0-0-0-0-0-0-1-2-4,1
2,17,0-0-0-0-0-0-0-1-3-6,1
2,17,0-0-0-0-0-0-0-1-4-5,1
2,17,0-0-0-0-0-0-0-1-6-8,1
2,17,0-0-0-0-0-0-0-2-3-8,1
2,17,0-0-0-0-0-0-0-2-6-8,2
2,17,0-0-0-0-0-0-0-2-7-8,3
2,17,0-0-0-0-0-0-0-3-4-5,1
2,17,0-0-0-0-0-0-0-3-5-7,1
2,17,0-0-0-0-0-0-0-3-6-8,1
2,17,0-0-0-0-0-0-0-3-7-8,1
2,17,0-0-0-0-0-0-0-5-7-8,1
2,17,0-0-0-0-0-0-0-6-7-8,2
2,17,0-0-0-0-0-1-2-3-4-5-6-7,2
2,18,0-0-0-0-0-0-0-0-0,134
2,18,0-0-0-0-0-0-0-0-1-4,5
2,18,0-0-0-0-0-0-0-0-1-5,1
2,18,0-0-0-0-0-0-0-0-1-6,2
2,18,0-0-0-0-0-0-0-0-1-7,10
2,18,0-0-0-0-0-0-0-0-1-8,7
2,18,0-0-0-0-0-0-0-0-2-3,2
2,18,0-0-0-0-0-0-0-0-2-5,9
2,18,0-0-0-0-0-0-0-0-2-6,1
2,18,0-0-0-0-0-0-0-0-2-7,2
2,18,0-0-0-0-0-0-0-0-2-8,1
2,18,0-0-0-0-0-0-0-0-3-4,1
2,18,0-0-0-0-0-0-0-0-3-6,6
2,18,0-0-0-0-0-0-0-0-3-8,4
2,18,0-0-0-0-0-0-0-0-4-5,1
2,18,0-0-0-0-0-0-0-0-4-7,3
2,18,0-0-0-0-0-0-0-0-4-8,12
2,18,0-0-0-0-0-0-0-0-5-6,8
2,18,0-0-0-0-0-0-0-0-6-7,2
2,18,0-0-0-0-0-0-0-0-7-8,25
2,18,0-0-0-0-0-0-0-1-2-3-8,7
2,18,0-0-0-0-0-0-0-2-3-4-7,1
2,18,0-0-0-0-0-0-0-2-3-5-8,1
2,18,0-0-0-0-0-0-0-2-5-6-7,1
2,18,0-0-0-0-0-0-0-4-5-6-7,5
2,18,0-0-0-0-0-0-2-3-4-5-6-7,1
2,19,0-0-0-0-0-0-0-0-0-1,4
2,19,0-0-0-0-0-0-0-0-0-2,5
2,19,0-0-0-0-0-0-0-0-0-3,2
2,19,0-0-0-0-0-0-0-0-0-4,3
2,19,0-0-0-0-0-0-0-0-0-5,12
2,19,0-0-0-0-0-0-0-0-0-6,9
2,19,0-0-0-0-0-0-0-0-0-7,2
2,19,0-0-0-0-0-0-0-0-0-8,50
2,19,0-0-0-0-0-0-0-0-1-3-4,1
2,19,0-0-0-0-0-0-0-0-1-3-5,1
2,19,0-0-0-0-0-0-0-0-1-3-6,1
2,19,0-0-0-0-0-0-0-0-1-3-8,1
2,19,0-0-0-0-0-0-0-0-1-4-7,3
2,19,0-0-0-0-0-0-0-0-1-4-8,1
2,19,0-0-0-0-0-0-0-0-1-7-8,1
2,19,0-0-0-0-0-0-0-0-2-3-5,1
2,19,0-0-0-0-0-0-0-0-2-5-6,2
2,19,0-0-0-0-0-0-0-0-2-7-8,1
2,19,0-0-0-0-0-0-0-0-3-4-7,1
2,19,0-0-0-0-0-0-0-0-4-5-7,2
2,19,0-0-0-0-0-0-0-0-4-5-8,4
2,19,0-0-0-0-0-0-0-0-4-6-8,1
2,19,0-0-0-0-0-0-0-0-4-7-8,2
2,19,0-0-0-0-0-0-0-1-2-3-5-8,1
2,19,0-0-0-0-0-0-1-2-3-4-5-6-7,4
2,20,0-0-0-0-0-0-0-0-0-0,128
2,20,0-0-0-0-0-0-0-0-0-1-2,1
2,20,0-0-0-0-0-0-0-0-0-1-3,2
2,20,0-0-0-0-0-0-0-0-0-1-4,1
2,20,0-0-0-0-0-0-0-0-0-1-5,16
2,20,0-0-0-0-0-0-0-0-0-1-6,41
2,20,0-0-0-0-0-0-0-0-0-1-7,1
2,20,0-0-0-0-0-0-0-0-0-1-8,15
2,20,0-0-0-0-0-0-0-0-0-2-3,5
2,20,0-0-0-0-0-0-0-0-0-2-4,3
2,20,0-0-0-0-0-0-0-0-0-2-5,9
2,20,0-0-0-0-0-0-0-0-0-2-7,5
2,20,0-0-0-0-0-0-0-0-0-2-8,5
2,20,0-0-0-0-0-0-0-0-0-3-4,2
2,20,0-0-0-0-0-0-0-0-0-3-5,3
2,20,0-0-0-0-0-0-0-0-0-3-6,12
2,20,0-0-0-0-0-0-0-0-0-3-8,9
2,20,0-0-0-0-0-0-0-0-0-4-5,7
2,20,0-0-0-0-0-0-0-0-0-4-6,3
2,20,0-0-0-0-0-0-0-0-0-4-8,3
2,20,0-0-0-0-0-0-0-0-0-5-7,7
2,20,0-0-0-0-0-0-0-0-0-5-8,6
2,20,0-0-0-0-0-0-0-0-0-6-7,19
2,20,0-0-0-0-0-0-0-0-0-6-8,12
2,20,0-0-0-0-0-0-0-0-0-7-8,7
2,20,0-0-0-0-0-0-0-0-1-2-4-6,2
2,20,0-0-0-0-0-0-0-0-1-3-6-8,3
2,20,0-0-0-0-0-0-0-0-1-4-7-8,22
2,20,0-0-0-0-0-0-0-0-2-3-4-6,1
2,20,0-0-0-0-0-0-0-0-2-3-5-6,165
2,20,0-0-0-0-0-0-0-0-2-5-6-7,1
2,20,0-0-0-0-0-0-0-0-2-6-7-8,3
2,20,0-0-0-0-0-0-0-0-4-5-6-8,2
2,20,0-0-0-0-0-0-0-1-2-3-4-5-6,1
2,20,0-0-0-0-0-0-0-1-2-4-5-7-8,2
2,20,0-0-0-0-0-0-1-2-3-4-5-6-7-8,20
2,21,0-0-0-0-0-0-0-0-0-0-1,2
2,21,0-0-0-0-0-0-0-0-0-0-2,1
2,21,0-0-0-0-0-0-0-0-0-0-4,1
2,21,0-0-0-0-0-0-0-0-0-0-5,2
2,21,0-0-0-0-0-0-0-0-0-0-7,1
2,21,0-0-0-0-0-0-0-0-0-0-8,16
2,21,0-0-0-0-0-0-0-0-0-1-7-8,2
2,21,0-0-0-0-0-0-0-0-0-2-5-6,1
2,21,0-0-0-0-0-0-0-0-0-4-7-8,1
2,21,0-0-0-0-0-0-0-0-2-3-5-6-7,5
2,21,0-0-0-0-0-0-0-0-2-4-5-6-7,1
2,22,0-0-0-0-0-0-0-0-0-0-0,271
2,22,0-0-0-0-0-0-0-0-0-0-1-8,5
2,22,0-0-0-0-0-0-0-0-0-0-2-4,3
2,22,0-0-0-0-0-0-0-0-0-0-2-5,3
2,22,0-0-0-0-0-0-0-0-0-0-2-8,5
2,22,0-0-0-0-0-0-0-0-0-0-3-5,2
2,22,0-0-0-0-0-0-0-0-0-0-3-6,3
2,22,0-0-0-0-0-0-0-0-0-0-3-7,1
2,22,0-0-0-0-0-0-0-0-0-0-3-8,5
2,22,0-0-0-0-0-0-0-0-0-0-5-7,1
2,22,0-0-0-0-0-0-0-0-0-0-6-7,1
2,22,0-0-0-0-0-0-0-0-0-0-6-8,6
2,22,0-0-0-0-0-0-0-0-0-0-7-8,15
2,22,0-0-0-0-0-0-0-0-0-1-2-3-7,5
2,22,0-0-0-0-0-0-0-0-0-1-4-5-8,1
2,22,0-0-0-0-0-0-0-0-0-2-6-7-8,1
2,22,0-0-0-0-0-0-0-0-0-3-4-5-6,1
2,22,0-0-0-0-0-0-0-0-0-4-5-6-8,6
2,22,0-0-0-0-0-0-0-1-2-3-4-5-6-7-8,9
2,23,0-0-0-0-0-0-0-0-0-0-0-1,5
2,23,0-0-0-0-0-0-0-0-0-0-0-3,2
2,23,0-0-0-0-0-0-0-0-0-0-0-4,2
2,23,0-0-0-0-0-0-0-0-0-0-0-5,5
2,23,0-0-0-0-0-0-0-0-0-0-0-7,2
2,23,0-0-0-0-0-0-0-0-0-0-0-8,20
2,23,0-0-0-0-0-0-0-0-0-0-1-3-6,1
2,23,0-0-0-0-0-0-0-0-0-0-1-3-8,2
2,23,0-0-0-0-0-0-0-0-0-0-1-6-8,3
2,23,0-0-0-0-0-0-0-0-0-0-3-6-8,1
2,24,0-0-0-0-0-0-0-0-0-0-0-0,198
2,24,0-0-0-0-0-0-0-0-0-0-0-1-2,3
2,24,0-0-0-0-0-0-0-0-0-0-0-1-3,6
2,24,0-0-0-0-0-0-0-0-0-0-0-1-4,4
2,24,0-0-0-0-0-0-0-0-0-0-0-1-5,3
2,24,0-0-0-0-0-0-0-0-0-0-0-1-6,6
2,24,0-0-0-0-0-0-0-0-0-0-0-1-7,2
2,24,0-0-0-0-0-0-0-0-0-0-0-1-8,5
2,24,0-0-0-0-0-0-0-0-0-0-0-2-3,11
2,24,0-0-0-0-0-0-0-0-0-0-0-2-4,1
2,24,0-0-0-0-0-0-0-0-0-0-0-2-5,7
2,24,0-0-0-0-0-0-0-0-0-0-0-2-6,3
2,24,0-0-0-0-0-0-0-0-0-0-0-2-7,6
2,24,0-0-0-0-0-0-0-0-0-0-0-2-8,8
2,24,0-0-0-0-0-0-0-0-0-0-0-3-4,2
2,24,0-0-0-0-0-0-0-0-0-0-0-3-5,7
2,24,0-0-0-0-0-0-0-0-0-0-0-3-6,3
2,24,0-0-0-0-0-0-0-0-0-0-0-3-7,5
2,24,0-0-0-0-0-0-0-0-0-0-0-3-8,12
2,24,0-0-0-0-0-0-0-0-0-0-0-4-5,1
2,24,0-0-0-0-0-0-0-0-0-0-0-4-7,5
2,24,0-0-0-0-0-0-0-0-0-0-0-4-8,5
2,24,0-0-0-0-0-0-0-0-0-0-0-5-6,2
2,24,0-0-0-0-0-0-0-0-0-0-0-5-7,1
2,24,0-0-0-0-0-0-0-0-0-0-0-5-8,7
2,24,0-0-0-0-0-0-0-0-0-0-0-6-7,1
2,24,0-0-0-0-0-0-0-0-0-0-0-6-8,13
2,24,0-0-0-0-0-0-0-0-0-0-0-7-8,12
2,24,0-0-0-0-0-0-0-0-0-0-1-2-3-7,7
2,24,0-0-0-0-0-0-0-0-0-0-1-3-6-8,15
2,24,0-0-0-0-0-0-0-0-0-0-1-4-7-8,6
2,24,0-0-0-0-0-0-0-0-0-0-1-5-6-7,5
2,24,0-0-0-0-0-0-0-0-0-0-2-3-4-8,4
2,24,0-0-0-0-0-0-0-0-0-0-2-3-5-6,2
2,24,0-0-0-0-0-0-0-0-0-0-2-4-5-7,6
2,24,0-0-0-0-0-0-0-0-0-0-2-6-7-8,1
2,24,0-0-0-0-0-0-0-0-0-0-3-4-6-7,1
2,24,0-0-0-0-0-0-0-0-0-0-4-5-6-8,6
2,24,0-0-0-0-0-0-0-0-0-1-2-3-4-5-6,2
2,24,0-0-0-0-0-0-0-0-1-2-3-4-5-6-7-8,3
2,25,0-0-0-0-0-0-0-0-0-0-0-0-1,3
2,25,0-0-0-0-0-0-0-0-0-0-0-0-2,2
2,25,0-0-0-0-0-0-0-0-0-0-0-0-3,3
2,25,0-0-0-0-0-0-0-0-0-0-0-0-4,3
2,25,0-0-0-0-0-0-0-0-0-0-0-0-5,4
2,25,0-0-0-0-0-0-0-0-0-0-0-0-6,3
2,25,0-0-0-0-0-0-0-0-0-0-0-0-7,3
2,25,0-0-0-0-0-0-0-0-0-0-0-0-8,18
2,25,0-0-0-0-0-0-0-0-0-0-0-4-7-8,1
2,25,0-0-0-0-0-0-0-0-0-0-0-5-6-8,1
2,25,0-0-0-0-0-0-0-0-0-0-1-2-3-5-8,1
2,25,0-0-0-0-0-0-0-0-0-0-1-3-5-6-7,1
2,25,0-0-0-0-0-0-0-0-0-0-2-3-4-5-7,3
2,25,0-0-0-0-0-0-0-0-0-0-2-3-4-5-8,1
2,25,0-0-0-0-0-0-0-0-0-0-2-3-4-7-8,1
2,26,0-0-0-0-0-0-0-0-0-0-0-0-0,157
2,26,0-0-0-0-0-0-0-0-0-0-0-0-1-3,2
2,26,0-0-0-0-0-0-0-0-0-0-0-0-1-5,1
2,26,0-0-0-0-0-0-0-0-0-0-0-0-1-6,2
2,26,0-0-0-0-0-0-0-0-0-0-0-0-1-8,3
2,26,0-0-0-0-0-0-0-0-0-0-0-0-2-5,2
2,26,0-0-0-0-0-0-0-0-0-0-0-0-2-6,1
2,26,0-0-0-0-0-0-0-0-0-0-0-0-2-8,1
2,26,0-0-0-0-0-0-0-0-0-0-0-0-3-7,1
2,26,0-0-0-0-0-0-0-0-0-0-0-0-3-8,2
2,26,0-0-0-0-0-0-0-0-0-0-0-0-4-8,5
2,26,0-0-0-0-0-0-0-0-0-0-0-3-5-7-8,1
2,26,0-0-0-0-0-0-0-0-0-0-1-2-3-5-6-8,1
2,26,0-0-0-0-0-0-0-0-0-0-2-3-4-5-6-7,2
2,26,0-0-0-0-0-0-0-0-0-1-2-3-4-5-6-7-8,3
2,27,0-0-0-0-0-0-0-0-0-0-0-0-0-1,2
2,27,0-0-0-0-0-0-0-0-0-0-0-0-0-2,3
2,27,0-0-0-0-0-0-0-0-0-0-0-0-0-3,1
2,27,0-0-0-0-0-0-0-0-0-0-0-0-0-4,2
2,27,0-0-0-0-0-0-0-0-0-0-0-0-0-5,1
2,27,0-0-0-0-0-0-0-0-0-0-0-0-0-6,2
2,27,0-0-0-0-0-0-0-0-0-0-0-0-0-7,3
2,27,0-0-0-0-0-0-0-0-0-0-0-0-0-8,22
2,27,0-0-0-0-0-0-0-0-0-0-0-0-1-3-6,2
2,27,0-0-0-0-0-0-0-0-0-0-0-0-2-6-8,1
2,27,0-0-0-0-0-0-0-0-0-0-0-0-3-4-8,1
2,27,0-0-0-0-0-0-0-0-0-0-0-0-3-7-8,2
2,27,0-0-0-0-0-0-0-0-0-0-0-0-4-6-8,1
2,27,0-0-0-0-0-0-0-0-0-0-0-1-2-3-7-8,1
2,27,0-0-0-0-0-0-0-0-0-0-0-1-2-4-5-7,1
2,27,0-0-0-0-0-0-0-0-0-0-0-2-3-4-6-8,1
2,27,0-0-0-0-0-0-0-0-0-0-0-2-4-5-6-7,2
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-0,152
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-1-2,3
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-1-3,8
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-1-4,4
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-1-5,3
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-1-6,5
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-1-7,2
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-1-8,8
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-2-3,4
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-2-4,2
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-2-5,4
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-2-6,5
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-2-7,3
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-2-8,3
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-3-4,2
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-3-5,4
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-3-6,2
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-3-7,4
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-3-8,4
2,28,0-0-0-0-0-0-0-0-0-0-0-0-0-4-5,4
