spg,n_atoms,wps,count
5,12,1-2-2,2
5,14,0-0-1-1-2,2
5,14,0-0-1-2-2,5
5,14,0-0-0-1,3
5,14,0-0-1-1-1,1
5,16,0-1-2,59
5,16,0-0-0-1-2,7
5,16,0-0-0-0,6
5,16,0-0-1-1-2-2,7
5,16,0-0-0-2-2,1
5,16,1-1-2-2,30
5,16,0-2-2,40
5,16,0-0,3
5,16,2-2,1
5,18,0-0-0-0-2,12
5,18,0-0-0-1-2-2,6
5,18,0-0-0-1-1-2,9
5,18,0-0-1-1-2-2-2,1
5,18,0-0-0-1-1-1,2
5,18,0-0-0-0-1,5
5,18,0-0-1-2-2-2-2,1
5,18,0-0-1-2,8
5,20,0-0-0-0-1-2,21
5,20,0-0-0-0-2-2,10
5,20,0-1-2-2,8
5,20,0-0-0-1-2-2-2,2
5,20,0-0-0-0-0,4
5,20,0-0-0-1-1-2-2,4
5,20,0-0-2,2
5,20,0-0-1,2
5,20,0-1-1-2,7
5,20,1-1-1-2-2,4
5,22,0-0-0-0-1-2-2,19
5,22,0-0-0-0-0-1,1
5,22,0-0-0-0-1-1-2,6
5,22,0-0-0-1-1-2-2-2,2
5,24,0-0-0-0-0-1-2,14
5,24,0-0-1-2,97
5,24,0-0-2-2,44
5,24,0-1-1-1-2,10
5,24,1-1-1-2-2-2,31
5,24,2-2-2,3
5,24,0-1-1-2-2,4
5,24,0-0-0-0-0-0,2
5,24,0-1-2-2-2,6
5,24,0-0-0-1-1-1-2-2-2,6
5,24,0-0-0-0-0-1-1,2
5,26,0-0-0-0-0-0-1,1
5,26,0-0-0-0-0-1-1-2,3
5,26,0-0-0-0-0-0-2,2
5,26,0-0-0-0-0-1-2-2,7
5,26,0-0-0-0-1-1-2-2-2,2
5,27,0-0-0-1-1-2,6
5,27,0-0-0-1-1-1,4
5,27,0-0-0-0-2,6
5,27,0-0-0-1-2-2,1
5,27,0-0-0-0-1,1
5,28,0-0-0-0-0-0-1-2,37
5,28,0-0-0-0-0-0-0,5
5,28,0-0-1-2-2,49
5,28,0-0-1-1-2,12
5,28,1-1-1-1-2-2-2,4
5,28,0-0-0-0-0-1-2-2-2,1
5,28,0-0-0-0-0-0-2-2,2
5,28,0-0-0-0-0-1-1-2-2,7
5,30,0-0-0-0-0-0-0-2,2
5,30,0-0-0-0-0-0-1-1-2,9
5,30,0-0-0-0-0-0-1-2-2,4
5,30,0-0-0-0-0-0-2-2-2,1
5,30,0-0-0-0-0-0-0-1,1
5,32,0-0-0-0-0-0-0-1-2,15
5,32,0-0-1-1-2-2,411
5,32,1-1-1-1-2-2-2-2,17
5,32,0-0-0-1-2,70
5,32,0-0-0-0-0-0-1-1-2-2,13
5,32,0-0-0-0,5
5,32,0-1-1-1-2-2-2,1
5,32,0-0-0-0-0-0-0-2-2,2
5,32,0-0-0-0-0-1-1-1-2-2-2,1
5,32,0-0-0-0-1-1-1-1-2-2-2-2,1
5,32,0-0-0-0-0-0-2-2-2-2,1
5,34,0-0-0-0-0-0-0-0-1,3
5,34,0-0-0-0-0-0-0-1-1-2,2
5,34,0-0-0-0-0-0-0-1-2-2,1
5,34,0-0-0-0-0-0-1-1-1-2-2,1
5,34,0-0-0-0-0-0-0-0-2,1
5,36,0-0-0-0-0-0-0-1-2-2-2,26
5,36,0-0-0-0-0-0-0-1-1-1-2,14
5,36,0-0-0-1-1-2,196
5,36,0-0-0-0-0-0-0-0-1-2,28
5,36,0-0-0-1-2-2,22
5,36,1-1-1-1-1-2-2-2-2,10
5,36,0-0-0-0-2,25
5,36,0-0-0-2-2-2,4
5,36,0-0-0-0-1,12
5,36,0-0-0-0-0-1-2,10
5,36,0-0-0-0-0-0-0-1-1-2-2,1
5,36,0-0-0-1-1-1,1
5,36,0-0-0-0-0-0-1-1-1-1-2-2,1
5,36,0-0-0-0-0-0-1-1-1-2-2-2,1
5,36,0-0-0-0-0-0-0-0-2-2,1
5,38,0-0-0-0-0-0-0-1-1-1-2-2,4
5,38,0-0-0-0-0-0-0-0-1-2-2,2
5,38,0-0-0-0-0-0-0-0-1-1-2,4
5,40,0-0-0-0-0-0-0-1-1-1-2-2-2,6
5,40,0-0-0-0-0-0-0-0-1-1-2-2,27
5,40,0-0-0-0-1-2,10
5,40,0-0-0-1-1-2-2,18
5,40,0-0-1-1-1-2-2-2,8
5,40,0-1-1-2,1
5,40,0-0-0-0-0-0-0-0-0-1-2,7
5,40,0-0-0-0-2-2,1
5,40,0-0-0-0-0-1-1-1-1-1-2-2-2-2-2,3
5,40,0-0-0-0-0-0-0-1-1-2-2-2-2,1
5,42,0-0-0-0-0-0-0-0-0-1-2-2,2
5,44,0-0-0-0-0-0-0-0-1-1-1-2-2-2,12
5,44,0-0-0-0-0-0-0-0-0-0-1-2,5
5,44,0-0-0-0-0-0-0-0-0-0-0,1
5,44,0-0-0-0-0-0-0-0-0-1-1-2-2,5
5,44,0-0-0-0-1-2-2,7
5,44,0-0-0-0-1-1-2,3
5,44,0-0-0-1-1-2-2-2,3
5,44,0-0-0-0-0-0-0-0-0-1-2-2-2,1
5,45,0-1-2-2,3
5,45,0-0-1,1
5,45,0-0-2,2
5,45,0-0-0-0-0-0-1-2-2,1
5,45,0-1-1-2,3
5,46,0-0-0-0-0-0-0-0-0-0-1-2-2,4
5,46,0-0-0-0-0-0-0-0-0-0-1-1-2,1
5,46,0-0-0-0-0-0-0-0-0-1-1-2-2-2,1
5,46,0-0-0-0-0-0-0-0-0-0-0-2,1
5,48,0-0-0-0-0-0-0-0-0-1-1-1-2-2-2,54
5,48,0-0-0-0-0-0-0-0-0-0-0-2-2,2
5,48,0-0-0-1-1-1-2-2-2,10
5,48,0-0-0-0-1-1-2-2,14
5,48,0-0-0-0-0-0-0-0-0-0-1-1-2-2,4
5,48,0-0-0-0-0-1-2,69
5,48,0-1-1-2-2,1
5,48,0-0-2-2,6
5,48,0-0-0-0-0-0-0-0-0-0-0-0,1
5,48,0-0-0-0-0-0,2
5,48,0-0-1-2,1
5,48,0-0-0-0-0-0-0-0-0-0-0-1-2,1
5,48,0-0-0-1-1-2-2-2-2,1
5,50,0-0-0-0-0-0-0-0-0-0-0-1-1-2,8
5,50,0-0-0-0-0-0-0-0-0-0-1-1-1-2-2,1
5,50,0-0-0-0-0-0-0-0-0-0-0-0-2,1
5,50,0-0-0-0-0-0-0-0-0-0-0-1-2-2,1
5,51,0-0-0-0-0-0-0-1-1-2,4
5,51,0-0-0-0-0-0-0-1-2-2,2
5,52,0-0-0-0-0-0-0-0-0-0-0-0-2-2,3
5,52,0-0-0-0-0-0-0-0-0-0-0-1-1-2-2,2
5,52,0-0-0-0-1-1-2-2-2,7
5,52,0-0-0-0-0-0-2,2
5,52,0-0-0-0-0-0-0-0-0-0-0-0-1-2,1
5,54,0-0-0-0-0-0-0-0-0-0-0-0-1-2-2,5
5,54,0-0-0-0-0-0-0-0-1-2,17
5,54,0-0-1-2,20
5,54,0-0-0-0-0-0-0-0-0-0-0-0-1-1-2,1
5,54,0-0-0-0-0-0-0-0-0-0-0-0-0-1,2
5,56,0-0-0-0-0-0-0-0-0-0-0-1-1-1-2-2-2,1
5,56,0-0-0-0-0-0-0-0-0-0-0-0-1-1-2-2,1
5,56,0-0-1-1-2,1
5,56,0-0-0-0-0-0-1-2,47
5,56,0-0-0-0-0-1-1-2-2,2
5,56,0-0-0-0-1-1-1-2-2-2,2
5,56,0-0-0-0-0-0-0-0-0-0-0-0-0-1-2,2
5,56,0-0-0-0-0-0-0-0-0-0-0-0-0-1-1,4
5,56,0-0-1-1-1-1-1-2-2-2-2-2,1
5,56,0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
5,56,0-0-0-0-0-0-0-1-1-1-1-1-1-1-2-2-2-2-2-2-2,1
5,58,0-0-0-0-0-0-0-0-0-0-0-0-0-1-2-2,1
5,60,0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-2-2,3
5,60,0-0-0-0-0-0-0-1,1
5,60,0-0-0-0-0-0-0-2,1
5,60,0-0-0-0-0-0-1-1-2,1
5,60,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
5,60,0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-2,1
5,60,0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-1-2,1
5,62,0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-2,1
5,63,0-0-0-0-0-0-0-0-0-1-2-2,2
5,63,0-0-2-2-2,1
5,64,0-0-0-0-0-0-1-1-2-2,30
5,64,0-0-1-1-2-2,12
5,64,0-0-0-0-0-0-0-1-2,13
5,64,0-0-0-0-0-0-0-0,24
5,64,0-0-0-0-0-0-1-1-1-2,3
5,68,0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-1-2-2-2,1
5,68,0-0-0-0-0-0-0-0-2,1
5,69,0-0-0-0-0-0-0-0-0-0-1-2-2,16
5,72,0-0-0-0-0-0-0-0-1-2,26
5,72,0-0-0-1-2,3
5,72,0-0-0-0-0-0-0-0-0-0-1-1-2-2,4
5,72,0-0-0-0-0-0-1-1-1-2-2-2,1
5,72,0-0-0-0-0-0-0-0-0-0-0-1-2,3
5,72,0-0-0-0-0-0-0-1-1-2-2,1
5,80,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-2-2,1
5,81,0-0-0-0-0-0-0-0-0-0-0-0-1-2-2,20
5,81,0-0-0-0-0-0-0-0-0-0-0-0-1-1-2,3
5,90,0-0-0-1-1-2-2,2
5,90,0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-2,1
5,90,0-0-0-0-1-2,1
5,99,0-0-0-0-0-2,2
5,99,0-0-0-0-1-1-2,1
6,2,1-2,7
6,2,1-1,1
6,3,1-1-2,10
6,3,2-2-2,1018
6,3,1-2-2,2
6,4,1-1-2-2,5
6,4,2-2,7
6,4,1-2,7
6,4,1-2-2-2,1
6,4,1-1-1-2,1
6,5,1-1-2-2-2,6
6,5,1-1-1-2-2,5
6,6,1-1-1-1-2-2,1
6,6,1-1-1-2-2-2,10
6,6,0-0-1-2,1
6,6,2-2-2,272
6,6,0-2,266
6,6,1-1-2,5
6,6,1-2-2,6
6,6,0-1,1
6,7,1-1-1-1-2-2-2,14
6,7,1-1-1-2-2-2-2,4
6,7,1-1-1-1-1-2-2,1
6,8,1-1-1-1-2-2-2-2,54
6,8,1-1-2-2,300
6,8,1-1-2-2-2-2-2-2,1
6,8,0-1-1-1-2-2-2,1
6,8,1-2,8
6,8,1-1-1-2-2-2-2-2,1
6,8,0-0-1-1-2-2,2
6,9,1-1-1-1-2-2-2-2-2,3
6,10,0-0-0-1-1-2-2,2
6,10,0-0-1-1-1-1-2-2,1
6,10,1-1-1-1-2-2-2-2-2-2,3
6,10,1-1-1-1-1-2-2-2-2-2,2
6,10,1-1-1-2-2,17
6,10,0-0-1-1-1-2-2-2,1
6,10,1-1-2-2-2,1
6,10,0-1-1-1-1-1-2-2-2,1
6,11,0-0-0-1-1-1-2-2,1
6,11,1-1-1-1-1-1-2-2-2-2-2,4
6,11,1-1-1-1-1-2-2-2-2-2-2,1
6,12,1-1-1-1-1-1-2-2-2-2-2-2,20
6,12,1-1-1-2-2-2,32
6,12,1-1-2,6
6,12,1-1-1-1-2-2,10
6,12,0-1,3
6,12,0-0-1-1-1-1-2-2-2-2,2
6,12,0-0-0-0-1-1-2-2,4
6,12,1-1-1-1-1-1-1-2-2-2-2-2,1
6,12,1-1-1-1-1-2-2-2-2-2-2-2,1
6,12,2-2-2,5
6,12,0-0-0-1-1-1-2-2-2,3
6,12,0-2-2-2-2,9
6,12,0-1-1-1-1,5
6,12,0-0-1-1-1-2-2-2-2-2,2
6,12,1-2-2,2
6,12,2-2-2-2-2-2,1
6,12,0-0-0,1
6,13,1-1-1-1-1-1-1-2-2-2-2-2-2,2
6,13,1-1-1-1-1-1-2-2-2-2-2-2-2,1
6,14,1-1-1-1-1-1-1-2-2-2-2-2-2-2,11
6,14,1-1-1-1-1-1-2-2-2-2-2-2-2-2,1
6,14,0-0-1-1-1-1-1-2-2-2-2-2,1
6,14,1-1-1-1-1-1-1-1-2-2-2-2-2-2,2
6,15,0-0-0-0-0-0-1-1-2,1
6,15,0-0-0-0-1-1-1-1-2-2-2,1
6,15,0-0-1-1-1-1-1-1-2-2-2-2-2,1
6,16,1-1-1-2,32
6,16,1-1-1-1-2-2-2-2,95
6,16,0-0-1-1-2-2,9
6,16,1-1-2-2,44
6,16,0-0-1-1-1-1-1-1-2-2-2-2-2-2,2
6,16,0-0-0-0-1-1-1-1-2-2-2-2,5
6,16,1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2,9
6,16,1-1-1-1-1-1-1-1,1
6,16,1-2-2-2,2
6,16,0-1-2,2
6,16,0-0-0-1-1-1-1-1-2-2-2-2-2,1
6,16,0-0-0-0-0-1-1-1-1-2-2,1
6,16,0-1-1-1-2-2-2,2
6,17,1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2,1
6,18,1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2,21
6,18,0-0-0-0-0-0-1-1-1-2-2-2,16
6,18,1-1-1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2,1
6,18,1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2,7
6,18,1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2-2,1
6,19,0-0-0-0-0-0-1-1-1-1-2-2-2,1
6,19,1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2,2
6,20,1-1-1-2-2,8
6,20,1-1-1-1-1-1-2-2-2-2,1
6,20,1-1-2-2-2,3
6,20,0-0-2-2-2-2-2-2,3
6,20,1-1-1-1-2-2-2-2-2-2,1
6,20,1-1-1-1-2,4
6,20,1-1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2,8
6,20,0-0-0-0-0-0-1-1-1-1-2-2-2-2,28
6,20,1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2-2-2,1
6,20,0-0-0-0-0-1-1-1-1-1-2-2-2-2-2,1
6,20,0-0-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2,1
6,21,1-1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2-2,11
6,21,1-1-1-1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2,1
6,22,0-0-0-0-0-0-0-0-1-1-1-2-2-2,2
6,22,0-1-1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2,3
6,22,1-1-1-1-2-2-2-2-2-2-2,2
6,22,0-0-0-0-1-2-2,2
6,23,0-0-0-0-0-0-0-1-1-1-1-1-2-2-2-2,1
6,24,1-1-1-1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2-2-2,26
6,24,1-1-1-2-2-2,45
6,24,1-1-2-2-2-2,5
6,24,0-0-0-0-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2,30
6,24,1-1-1-1-1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2-2,2
6,24,0-1-1-2-2,2
6,24,1-1-1-1-1-1-2-2-2-2-2-2,26
6,24,0-0-1-1-1-1-2-2-2-2,6
6,24,1-1-1-1-1-1-1-1-2-2-2-2,1
6,24,0-0-0-0-0-0-0-0-1-1-1-1-2-2-2-2,3
6,24,1-1-1-1-1-1-1-1-1-2-2-2,1
6,24,0-0-0-1-1-1-2-2-2,3
6,24,0-0-0-0-1-1-2-2,7
6,24,0-0-0-0-0-0-1-1-1-1-1-1-2-2-2-2-2-2,1
6,24,1-1-1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2-2-2-2,1
6,25,1-1-1-1-1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2-2-2,1
6,25,0-0-0-0-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2,2
6,25,1-1-1-1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2-2-2-2,1
6,26,0-0-0-0-0-0-0-0-1-1-1-1-1-2-2-2-2-2,1
6,26,0-0-0-0-1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2,6
6,26,0-0-0-0-0-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2,1
6,26,0-0-0-0-0-0-0-0-0-0-0-1-1-2-2,1
6,26,1-1-1-1-1-1-2-2-2-2-2-2-2,2
6,26,0-0-0-0-0-1-2-2,2
6,26,0-0-0-0-0-0-0-0-0-0-1-1-2-2-2-2,1
6,27,1-1-1-1-2-2-2-2-2,8
6,28,0-0-1-1-1-1-1-2-2-2-2-2,3
6,28,0-0-0-0-0-0-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2,38
6,28,1-1-1-1-1-1-2-2-2-2-2-2-2-2,4
6,28,1-1-1-1-2-2-2,3
6,28,1-1-1-1-1-1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2-2-2-2-2,5
6,28,1-1-1-1-1-1-1-2-2-2-2-2-2-2,1
6,28,0-0-0-0-0-0-0-1-1-1-1-1-1-1-2-2-2-2-2-2-2,1
6,28,0-0-0-0-0-0-0-0-0-0-1-1-1-1-2-2-2-2,1
6,28,0-0-0-0-1-1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2-2,1
6,28,0-0-0-0-1-1-1-2-2-2,1
6,30,0-0-0-0-0-0-0-0-0-0-1-1-1-1-1-2-2-2-2-2,1
6,30,0-0-0-0-0-0-0-0-0-0-0-0-1-1-1-2-2-2,5
6,32,1-1-1-1-2-2-2-2,380
6,32,0-1-1-1-2-2-2,5
6,32,0-0-0-0-1-1-1-1-2-2-2-2,76
6,32,0-0-1-1-2-2,17
6,32,0-0-1-1-1-1-1-1-1-1-2-2-2-2,1
6,32,1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2,1
6,32,0-0-0-1-2,1
6,36,1-1-1-1-2-2-2-2-2,195
6,36,0-0-0-0-0-0-1-1-1-2-2-2,14
6,36,1-1-1-1-1-2-2-2-2,31
6,36,1-1-1-2-2-2-2-2-2,1
6,36,1-1-1-1-1-1-1-1-1-2-2-2-2-2-2-2-2-2,3
6,36,0-0-0-0-2,18
6,36,0-0-0-0-1,10
6,36,0-0-1-1-2-2-2,2
