spg,n_atoms,wps,count
1,18,0-0-0-0-0-0,1
1,27,0-0-0-0-0-0-0-0-0,3
1,45,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,5
1,45,0-0-0-0-0,6
1,54,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
1,72,0-0-0-0-0-0-0-0,10
1,81,0-0-0-0-0-0-0-0-0,10
1,90,0-0-0-0-0-0-0-0-0-0,26
1,99,0-0-0-0-0-0-0-0-0-0-0,6
2,27,0-0-0-0-8,2
2,27,0-0-0-0-7,1
2,30,0-0-0-0-0,2
2,33,0-0-0-0-0-8,5
2,36,0-0-0-0-0-7-8,2
2,39,0-0-0-0-0-0-8,4
2,42,0-0-0-0-0-0-7-8,2
2,45,0-0-0-0-0-0-0-8,13
2,45,0-0-0-0-0-0-0-7,13
2,54,0-0-0-0-0-0-0-0-7-8,2
2,54,0-0-0,3
2,54,0-0-0-0-0-0-0-0-0,1
2,60,0-0-0-0-0-0-0-0-0-0,1
2,63,0-0-0-8,6
2,63,0-0-0-0-0-0-0-0-0-0-7,4
2,69,0-0-0-0-0-0-0-0-0-0-0-7,1
2,72,0-0-0-3-8,149
2,72,0-0-0-0,19
2,75,0-0-0-0-0-0-0-0-0-0-0-0-8,4
2,81,0-0-0-0-8,11
2,81,0-0-0-0-3,3
2,81,0-0-0-0-0-0-0-0-0-0-0-0-0-8,1
2,90,0-0-0-0-3-8,59
2,90,0-0-0-0-0,69
2,99,0-0-0-0-0-8,6
2,99,0-0-0-0-4-5-6,5
3,4,2-4,7
3,6,0-0-1-4,3
3,6,0-4,266
3,6,1-3-4,3
3,6,2-4-4,2
3,6,3-4-4,1
3,6,2-2-4,2
3,6,0-2,1
3,8,1-1-4-4,39
3,8,1-2-3-4,130
3,9,0-0-1-2-3-3-4,1
3,10,1-1-2-3-4,8
3,10,0-0-0-0-1-2,1
3,10,1-2-2-3-4,1
3,10,0-0-0-1-2-3-4,1
3,10,0-0-0-0-2-3,1
3,12,0-0-0-0-1-2-3-4,2
3,12,1-1-2-3-3-4,10
3,12,2-3-4,9
3,12,0-0-0-0-0-2-3,2
3,12,1-1-2-3-4-4,4
3,12,0-0-2-2,5
3,12,0-0-4-4,2
3,12,0-0-0,1
3,13,0-0-0-0-1-1-2-2-3,4
3,13,0-0-0-0-1-2-3-3-4,1
3,14,0-0-0-0-1-1-2-2-3-3,1
3,14,0-0-0-0-0-1-3-3-4,1
3,15,0-0-0-0-1-1-2-2-3-4-4,2
3,16,0-0-0-0-0-0-1-2-3-4,8
3,16,0-0-1-2-3-4,159
3,16,1-1-2-2-3-3-4-4,18
3,16,1-1-4-4,4
3,16,1-2-3-4,1
3,16,0-0-0-0-1-1-2-2-3-3-4-4,1
3,16,0-0-0-0,3
3,16,0-0-0-3-4,2
3,17,0-0-0-0-0-0-1-1-2-3-4,3
3,17,0-0-0-0-0-0-1-2-3-4-4,1
3,17,0-0-0-0-0-0-1-2-3-3-4,1
3,18,0-0-0-0-0-0-1-1-2-3-3-4,1
3,18,0-0-0-0-0-0-1-1-2-2-3-3,6
3,18,0-0-0-0-1-1-2-2-2-3-3-3-4-4,1
3,19,0-0-0-0-0-0-0-0-1-2-3,1
3,20,0-0-0-0-0-0-1-1-2-2-3-3-4-4,8
3,20,0-0-0-0-0-0-0-0-0-0,1
3,20,0-0-0-0-0-0-1-1-1-2-3-3-3-4,1
3,22,0-0-0-0-0-0-0-0-0-2-2-4-4,1
3,22,0-0-0-0-0-0-0-0-1-2-2-3-3-4,1
3,22,0-0-0-0-0-0-0-0-0-1-2-3-4,2
3,22,0-0-0-0-1-3-4,2
3,24,0-0-0-0-0-0-1-1-1-2-2-2-3-3-3-4-4-4,5
3,24,0-0-0-0-1-2-3-4,8
3,24,0-0-0-0-0-0,5
3,24,0-0-0-0-0-0-0-0-0-0-1-2-3-4,1
3,24,0-0-0-1-1-2-3-4-4,1
3,24,0-0-1-4,6
3,24,0-0-0-1-2-2-3-4-4,1
3,24,0-0-0-1-1-2-2-3-4,1
3,26,0-0-0-0-0-1-3-4,2
3,27,0-0-0-0-0-0-0-0-0-0-0-0-0-1,1
3,28,0-0-0-0-0-0-0-0-1-1-1-2-2-2-3-3-3-4-4-4,1
3,28,0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-4,1
3,30,0-0-0-0-1-2-2-3-3-4-4,1
3,32,0-0-2-3-4-4,1
3,32,0-0-0-0-0-0-1-2-3-4,3
3,32,0-0-0-0-1-1-2-2-3-3-4-4,1
3,36,0-0-0-1-2-3,5
3,36,0-0-0-0-0-0-1-2-2-3-3-4,1
3,40,0-0-0-0-0-0-1-1-2-2-3-3-4-4,4
3,40,0-0-1-1-2-3-4-4,5
3,40,0-0-0-0-0-0-0-0-1-1-3-3,1
3,40,0-0-0-0-0-0-0-0-1-2-3-4,3
3,44,0-0-0-0-0-0-0-0-0-0-2-3,2
3,48,0-0-0-0-0-0-0-0-0-0-1-1-4-4,1
3,48,0-0-0-0-0-0-0-0-0-0-1-2-3-4,2
3,52,0-0-1-1-1-2-2-3-3-4-4,1
3,56,0-0-0-0-0-0-0-0-0-0-0-0-1-2-3-4,9
3,60,0-0-0-0-0-0-0-0-0-0-0-0-1-2-2-3-3-4,1
3,72,0-0-0-0-0-0-0-0-2-3,1
4,4,0-0,3
4,6,0-0-0,15
4,8,0-0-0-0,18
4,8,0-0,1
4,10,0-0-0-0-0,22
4,12,0-0-0-0-0-0,20
4,12,0-0-0,14
4,14,0-0-0-0-0-0-0,36
4,16,0-0-0-0-0-0-0-0,36
4,16,0-0-0-0,49
4,16,0-0,19
4,18,0-0-0-0-0-0-0-0-0,52
4,20,0-0-0-0-0-0-0-0-0-0,49
4,20,0-0-0-0-0,5
4,22,0-0-0-0-0-0-0-0-0-0-0,43
4,24,0-0-0-0-0-0,86
4,24,0-0-0-0-0-0-0-0-0-0-0-0,46
4,24,0-0-0,41
4,26,0-0-0-0-0-0-0-0-0-0-0-0-0,25
4,28,0-0-0-0-0-0-0-0-0-0-0-0-0-0,40
4,28,0-0-0-0-0-0-0,9
4,30,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,10
4,30,0-0-0-0-0,2
4,32,0-0-0-0-0-0-0-0,200
4,32,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,3
4,32,0-0-0-0,37
4,36,0-0-0-0-0-0-0-0-0,18
4,36,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,3
4,38,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,2
4,40,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,40,0-0-0-0-0-0-0-0-0-0,102
4,40,0-0-0-0-0,40
4,42,0-0-0-0-0-0-0,3
4,42,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,2
4,44,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,3
4,44,0-0-0-0-0-0-0-0-0-0-0,2
4,46,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,48,0-0-0-0-0-0,118
4,48,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,48,0-0-0-0-0-0-0-0-0-0-0-0,39
4,48,0-0-0-0-0-0-0-0,1
4,50,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,3
4,52,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,54,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,56,0-0-0-0-0-0-0-0-0-0-0-0-0-0,100
4,56,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,56,0-0-0-0-0-0-0,23
4,58,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,2
4,60,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,3
4,60,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,2
4,64,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,64,0-0-0-0-0-0-0-0,38
4,64,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,6
4,68,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
4,72,0-0-0-0-0-0-0-0-0-0-0-0,95
4,72,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,16
4,72,0-0-0-0-0-0-0-0-0,19
4,78,0-0-0-0-0-0-0-0-0-0-0-0-0,3
4,84,0-0-0-0-0-0-0-0-0-0-0-0-0-0,5
4,90,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
5,6,0-1,42
5,6,0-2,80
5,6,1-2-2,1
5,8,0-1-2,20
5,8,0-0,1
5,8,1-2,8
5,8,1-1-2-2,1
5,9,0-1,2
5,9,0-2,1
5,10,0-0-2,17
5,10,0-0-1,1
5,12,0-0-1-2,9
5,12,1-1-2,4
5,12,0-2,14
5,12,0-1,3
5,12,0-0-1-1,1
5,12,2-2-2,2
