184
 22.2720390000  0.0000000000  0.0000000000
 0.0000000000  22.2720390000  0.0000000000
 0.0000000000  0.0000000000  7.3492820000
O  21.4034294790  14.1872888430  1.3743157340
O  0.8686095210  8.0847501570  1.3743157340
O  8.0847501570  21.4034294790  5.0489567340
O  14.1872888430  0.8686095210  5.0489567340
C  20.2452834510  14.5659135060  1.3743157340
C  2.0267555490  7.7061254940  1.3743157340
C  7.7061254940  20.2452834510  5.0489567340
C  14.5659135060  2.0267555490  5.0489567340
N  19.4657620860  14.8331779740  0.2866219980
N  2.8062769140  7.4388610260  0.2866219980
N  7.4388610260  19.4657620860  3.9612629980
N  14.8331779740  2.8062769140  3.9612629980
C  18.1962558630  15.2786187540  0.6834832260
C  4.0757831370  6.9934202460  0.6834832260
C  6.9934202460  18.1962558630  4.3581242260
C  15.2786187540  4.0757831370  4.3581242260
C  17.1049259520  15.7240595340  7.2831384620
C  5.1671130480  6.5479794660  7.2831384620
C  6.5479794660  17.1049259520  3.6084974620
C  15.7240595340  5.1671130480  3.6084974620
C  15.9913240020  16.1917723530  0.6614353800
C  6.2807149980  6.0802666470  0.6614353800
C  6.0802666470  15.9913240020  4.3360763800
C  16.1917723530  6.2807149980  4.3360763800
C  15.9913240020  16.1917723530  2.0871960880
C  6.2807149980  6.0802666470  2.0871960880
C  6.0802666470  15.9913240020  5.7618370880
C  16.1917723530  6.2807149980  5.7618370880
C  17.1049259520  15.7240595340  2.8147750060
C  5.1671130480  6.5479794660  2.8147750060
C  6.5479794660  17.1049259520  6.4894160060
C  15.7240595340  5.1671130480  6.4894160060
C  18.1962558630  15.3008907930  2.0724975240
C  4.0757831370  6.9711482070  2.0724975240
C  6.9711482070  18.1962558630  5.7471385240
C  15.3008907930  4.0757831370  5.7471385240
N  19.4657620860  14.8331779740  2.4693587520
N  2.8062769140  7.4388610260  2.4693587520
N  7.4388610260  19.4657620860  6.1439997520
N  14.8331779740  2.8062769140  6.1439997520
C  14.6995457400  16.7263012890  2.7118850580
C  7.5724932600  5.5457377110  2.7118850580
C  5.5457377110  14.6995457400  6.3865260580
C  16.7263012890  7.5724932600  6.3865260580
C  13.5859437900  15.8576917680  2.0871960880
C  8.6860952100  6.4143472320  2.0871960880
C  6.4143472320  13.5859437900  5.7618370880
C  15.8576917680  8.6860952100  5.7618370880
C  12.6727901910  15.0781704030  2.8147750060
C  9.5992488090  7.1938685970  2.8147750060
C  7.1938685970  12.6727901910  6.4894160060
C  15.0781704030  9.5992488090  6.4894160060
C  11.7819086310  14.3209210770  2.0651482420
C  10.4901303690  7.9511179230  2.0651482420
C  7.9511179230  11.7819086310  5.7397892420
C  14.3209210770  10.4901303690  5.7397892420
N  10.8464829930  13.3409513610  2.4620094700
N  11.4255560070  8.9310876390  2.4620094700
N  8.9310876390  10.8464829930  6.1366504700
N  13.3409513610  11.4255560070  6.1366504700
C  10.3119540570  12.6950622300  1.3743157340
C  11.9600849430  9.5769767700  1.3743157340
C  9.5769767700  10.3119540570  5.0489567340
C  12.6950622300  11.9600849430  5.0489567340
O  9.5992488090  11.7150925140  1.3743157340
O  12.6727901910  10.5569464860  1.3743157340
O  10.5569464860  9.5992488090  5.0489567340
O  11.7150925140  12.6727901910  5.0489567340
N  10.8464829930  13.3409513610  0.2866219980
N  11.4255560070  8.9310876390  0.2866219980
N  8.9310876390  10.8464829930  3.9612629980
N  13.3409513610  11.4255560070  3.9612629980
C  11.7819086310  14.3209210770  0.6834832260
C  10.4901303690  7.9511179230  0.6834832260
C  7.9511179230  11.7819086310  4.3581242260
C  14.3209210770  10.4901303690  4.3581242260
C  12.6727901910  15.0781704030  7.2831384620
C  9.5992488090  7.1938685970  7.2831384620
C  7.1938685970  12.6727901910  3.6084974620
C  15.0781704030  9.5992488090  3.6084974620
C  13.5859437900  15.8576917680  0.6614353800
C  8.6860952100  6.4143472320  0.6614353800
C  6.4143472320  13.5859437900  4.3360763800
C  15.8576917680  8.6860952100  4.3360763800
C  14.6995457400  16.7263012890  0.0440956920
C  7.5724932600  5.5457377110  0.0440956920
C  5.5457377110  14.6995457400  3.7187366920
C  16.7263012890  7.5724932600  3.7187366920
C  14.5213694280  18.1071677070  0.6687846620
C  7.7506695720  4.1648712930  0.6687846620
C  4.1648712930  14.5213694280  4.3434256620
C  18.1071677070  7.7506695720  4.3434256620
C  14.4100092330  19.3098578130  7.2831384620
C  7.8620297670  2.9621811870  7.2831384620
C  2.9621811870  14.4100092330  3.6084974620
C  19.3098578130  7.8620297670  3.6084974620
C  14.2986490380  20.4902758800  0.6834832260
C  7.9733899620  1.7817631200  0.6834832260
C  1.7817631200  14.2986490380  4.3581242260
C  20.4902758800  7.9733899620  4.3581242260
N  14.2541049600  21.8488702590  0.2866219980
N  8.0179340400  0.4231687410  0.2866219980
N  0.4231687410  14.2541049600  3.9612629980
N  21.8488702590  8.0179340400  3.9612629980
C  14.2541049600  0.4008967020  1.3743157340
C  8.0179340400  21.8711422980  1.3743157340
C  21.8711422980  14.2541049600  5.0489567340
C  0.4008967020  8.0179340400  5.0489567340
O  14.2763769990  1.6258588470  1.3743157340
O  7.9956620010  20.6461801530  1.3743157340
O  20.6461801530  14.2763769990  5.0489567340
O  1.6258588470  7.9956620010  5.0489567340
N  14.2541049600  21.8488702590  2.4693587520
N  8.0179340400  0.4231687410  2.4693587520
N  0.4231687410  14.2541049600  6.1439997520
N  21.8488702590  8.0179340400  6.1439997520
C  14.2986490380  20.4902758800  2.0724975240
C  7.9733899620  1.7817631200  2.0724975240
C  1.7817631200  14.2986490380  5.7471385240
C  20.4902758800  7.9733899620  5.7471385240
C  14.4100092330  19.3098578130  2.8147750060
C  7.8620297670  2.9621811870  2.8147750060
C  2.9621811870  14.4100092330  6.4894160060
C  19.3098578130  7.8620297670  6.4894160060
C  14.5213694280  18.1071677070  2.0871960880
C  7.7506695720  4.1648712930  2.0871960880
C  4.1648712930  14.5213694280  5.7618370880
C  18.1071677070  7.7506695720  5.7618370880
